date,flu,flu recovery,having the flu,flu duration,remedies for the flu,influenza a and b,cure the flu,remedies for flu,flu season,dangerous fever,break a fever,flu versus cold,how long is the flu contagious,treating flu,pneumonia,flu how long,fever cough,flu lasts,braun thermoscan,the flu,flu symptoms,cold vs. flu,how long flu,how long is the flu,symptoms of flu,cold and flu,flu contagious period,treating the flu,flu children,incubation period for flu,reduce a fever,how long contagious,i have the flu,treat the flu,flu treatment,is the flu contagious,do i have the flu,flu 2018,cold versus flu,incubation period for the flu,flu vs cold,flu care,flu headache,flu vs. cold,flu shot kaiser,high fever,medicine for flu,flu treatments,cold vs flu,fight the flu,influenza symptoms,the flu virus,how to treat flu,type a influenza,influenza incubation period,thermoscan,normal body temperature,flu virus,how long does the flu last,cold,fever flu,how long does flu last,swine flu,flu vaccine,flu cough,contagious flu,what to do if you have the flu,flu report,symptoms,signs of flu,over the counter flu medicine,the flu symptoms,normal body,get rid of the flu,is flu contagious,flu germs,ear thermometer,early flu symptoms,stomach,how long is flu contagious,symptoms of the flu,taking temperature,exposed to flu,california flu,flu contagious,bronchitis,get over the flu,stomach flu symptoms,symptoms of bronchitis,oscillococcinum,cold or flu,flu medicine,flu remedies,signs of the flu,treat flu,how to get rid of the flu,body temperature
2010-50,8.0,0.0,10.0,10.0,10.0,0.0,1.0,1.0,5.0,30.0,35.0,0.0,15.0,0.0,44.0,1.0,2.0,0.0,0.0,7.0,7.0,1.0,4.0,2.0,5.0,10.0,1.0,0.0,0.0,0.0,4.0,31.0,5.0,3.0,14.0,8.0,6.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,50.0,3.0,2.0,5.0,0.0,9.0,4.0,6.0,0.0,0.0,11.0,42.0,0.0,0.0,49.0,0.0,2.0,8.0,3.0,3.0,0.0,0.0,0.0,91.0,1.0,1.0,7.0,33.0,6.0,10.0,0.0,15.0,0.0,54.0,0.0,0.0,2.0,1.0,4.0,5.0,45.0,0.0,5.0,3.0,10.0,3.0,7.0,7.0,1.0,4.0,1.0,74.0
2010-51,8.0,0.0,10.0,10.0,10.0,0.0,1.0,1.0,5.0,30.0,35.0,0.0,15.0,0.0,44.0,1.0,2.0,0.0,0.0,7.0,7.0,1.0,4.0,2.0,5.0,10.0,1.0,0.0,0.0,0.0,4.0,31.0,5.0,3.0,14.0,8.0,6.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,50.0,3.0,2.0,5.0,0.0,9.0,4.0,6.0,0.0,0.0,11.0,42.0,0.0,0.0,49.0,0.0,2.0,8.0,3.0,3.0,0.0,0.0,0.0,91.0,1.0,1.0,7.0,33.0,6.0,10.0,0.0,15.0,0.0,54.0,0.0,0.0,2.0,1.0,4.0,5.0,45.0,0.0,5.0,3.0,10.0,3.0,7.0,7.0,1.0,4.0,1.0,74.0
2010-52,8.0,0.0,10.0,10.0,10.0,0.0,1.0,1.0,5.0,30.0,35.0,0.0,15.0,0.0,44.0,1.0,2.0,0.0,0.0,7.0,7.0,1.0,4.0,2.0,5.0,10.0,1.0,0.0,0.0,0.0,4.0,31.0,5.0,3.0,14.0,8.0,6.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,50.0,3.0,2.0,5.0,0.0,9.0,4.0,6.0,0.0,0.0,11.0,42.0,0.0,0.0,49.0,0.0,2.0,8.0,3.0,3.0,0.0,0.0,0.0,91.0,1.0,1.0,7.0,33.0,6.0,10.0,0.0,15.0,0.0,54.0,0.0,0.0,2.0,1.0,4.0,5.0,45.0,0.0,5.0,3.0,10.0,3.0,7.0,7.0,1.0,4.0,1.0,74.0
2011-01,8.0,0.0,10.0,10.0,10.0,0.0,1.0,1.0,5.0,30.0,35.0,0.0,15.0,0.0,44.0,1.0,2.0,0.0,0.0,7.0,7.0,1.0,4.0,2.0,5.0,10.0,1.0,0.0,0.0,0.0,4.0,31.0,5.0,3.0,14.0,8.0,6.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,50.0,3.0,2.0,5.0,0.0,9.0,4.0,6.0,0.0,0.0,11.0,42.0,0.0,0.0,49.0,0.0,2.0,8.0,3.0,3.0,0.0,0.0,0.0,91.0,1.0,1.0,7.0,33.0,6.0,10.0,0.0,15.0,0.0,54.0,0.0,0.0,2.0,1.0,4.0,5.0,45.0,0.0,5.0,3.0,10.0,3.0,7.0,7.0,1.0,4.0,1.0,74.0
2011-02,8.0,0.0,10.0,10.0,10.0,0.0,1.0,1.0,5.0,30.0,35.0,0.0,15.0,0.0,44.0,1.0,2.0,0.0,0.0,7.0,7.0,1.0,4.0,2.0,5.0,10.0,1.0,0.0,0.0,0.0,4.0,31.0,5.0,3.0,14.0,8.0,6.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,50.0,3.0,2.0,5.0,0.0,9.0,4.0,6.0,0.0,0.0,11.0,42.0,0.0,0.0,49.0,0.0,2.0,8.0,3.0,3.0,0.0,0.0,0.0,91.0,1.0,1.0,7.0,33.0,6.0,10.0,0.0,15.0,0.0,54.0,0.0,0.0,2.0,1.0,4.0,5.0,45.0,0.0,5.0,3.0,10.0,3.0,7.0,7.0,1.0,4.0,1.0,74.0
2011-03,8.0,0.0,10.0,10.0,10.0,0.0,1.0,1.0,5.0,30.0,35.0,0.0,15.0,0.0,44.0,1.0,2.0,0.0,0.0,7.0,7.0,1.0,4.0,2.0,5.0,10.0,1.0,0.0,0.0,0.0,4.0,31.0,5.0,3.0,14.0,8.0,6.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,50.0,3.0,2.0,5.0,0.0,9.0,4.0,6.0,0.0,0.0,11.0,42.0,0.0,0.0,49.0,0.0,2.0,8.0,3.0,3.0,0.0,0.0,0.0,91.0,1.0,1.0,7.0,33.0,6.0,10.0,0.0,15.0,0.0,54.0,0.0,0.0,2.0,1.0,4.0,5.0,45.0,0.0,5.0,3.0,10.0,3.0,7.0,7.0,1.0,4.0,1.0,74.0
2011-04,8.0,0.0,10.0,10.0,10.0,0.0,1.0,1.0,5.0,30.0,35.0,0.0,15.0,0.0,44.0,1.0,2.0,0.0,0.0,7.0,7.0,1.0,4.0,2.0,5.0,10.0,1.0,0.0,0.0,0.0,4.0,31.0,5.0,3.0,14.0,8.0,6.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,50.0,3.0,2.0,5.0,0.0,9.0,4.0,6.0,0.0,0.0,11.0,42.0,0.0,0.0,49.0,0.0,2.0,8.0,3.0,3.0,0.0,0.0,0.0,91.0,1.0,1.0,7.0,33.0,6.0,10.0,0.0,15.0,0.0,54.0,0.0,0.0,2.0,1.0,4.0,5.0,45.0,0.0,5.0,3.0,10.0,3.0,7.0,7.0,1.0,4.0,1.0,74.0
2011-05,8.0,0.0,10.0,10.0,10.0,0.0,1.0,1.0,5.0,30.0,35.0,0.0,15.0,0.0,44.0,1.0,2.0,0.0,0.0,7.0,7.0,1.0,4.0,2.0,5.0,10.0,1.0,0.0,0.0,0.0,4.0,31.0,5.0,3.0,14.0,8.0,6.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,50.0,3.0,2.0,5.0,0.0,9.0,4.0,6.0,0.0,0.0,11.0,42.0,0.0,0.0,49.0,0.0,2.0,8.0,3.0,3.0,0.0,0.0,0.0,91.0,1.0,1.0,7.0,33.0,6.0,10.0,0.0,15.0,0.0,54.0,0.0,0.0,2.0,1.0,4.0,5.0,45.0,0.0,5.0,3.0,10.0,3.0,7.0,7.0,1.0,4.0,1.0,74.0
2011-06,8.0,0.0,10.0,10.0,10.0,0.0,1.0,1.0,5.0,30.0,35.0,0.0,15.0,0.0,44.0,1.0,2.0,0.0,0.0,7.0,7.0,1.0,4.0,2.0,5.0,10.0,1.0,0.0,0.0,0.0,4.0,31.0,5.0,3.0,14.0,8.0,6.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,50.0,3.0,2.0,5.0,0.0,9.0,4.0,6.0,0.0,0.0,11.0,42.0,0.0,0.0,49.0,0.0,2.0,8.0,3.0,3.0,0.0,0.0,0.0,91.0,1.0,1.0,7.0,33.0,6.0,10.0,0.0,15.0,0.0,54.0,0.0,0.0,2.0,1.0,4.0,5.0,45.0,0.0,5.0,3.0,10.0,3.0,7.0,7.0,1.0,4.0,1.0,74.0
2011-07,8.0,0.0,10.0,10.0,10.0,0.0,1.0,1.0,5.0,30.0,35.0,0.0,15.0,0.0,44.0,1.0,2.0,0.0,0.0,7.0,7.0,1.0,4.0,2.0,5.0,10.0,1.0,0.0,0.0,0.0,4.0,31.0,5.0,3.0,14.0,8.0,6.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,50.0,3.0,2.0,5.0,0.0,9.0,4.0,6.0,0.0,0.0,11.0,42.0,0.0,0.0,49.0,0.0,2.0,8.0,3.0,3.0,0.0,0.0,0.0,91.0,1.0,1.0,7.0,33.0,6.0,10.0,0.0,15.0,0.0,54.0,0.0,0.0,2.0,1.0,4.0,5.0,45.0,0.0,5.0,3.0,10.0,3.0,7.0,7.0,1.0,4.0,1.0,74.0
2011-08,8.0,0.0,10.0,10.0,10.0,0.0,1.0,1.0,5.0,30.0,35.0,0.0,15.0,0.0,44.0,1.0,2.0,0.0,0.0,7.0,7.0,1.0,4.0,2.0,5.0,10.0,1.0,0.0,0.0,0.0,4.0,31.0,5.0,3.0,14.0,8.0,6.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,50.0,3.0,2.0,5.0,0.0,9.0,4.0,6.0,0.0,0.0,11.0,42.0,0.0,0.0,49.0,0.0,2.0,8.0,3.0,3.0,0.0,0.0,0.0,91.0,1.0,1.0,7.0,33.0,6.0,10.0,0.0,15.0,0.0,54.0,0.0,0.0,2.0,1.0,4.0,5.0,45.0,0.0,5.0,3.0,10.0,3.0,7.0,7.0,1.0,4.0,1.0,74.0
2011-09,8.0,0.0,10.0,10.0,10.0,0.0,1.0,1.0,5.0,30.0,35.0,0.0,15.0,0.0,44.0,1.0,2.0,0.0,0.0,7.0,7.0,1.0,4.0,2.0,5.0,10.0,1.0,0.0,0.0,0.0,4.0,31.0,5.0,3.0,14.0,8.0,6.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,50.0,3.0,2.0,5.0,0.0,9.0,4.0,6.0,0.0,0.0,11.0,42.0,0.0,0.0,49.0,0.0,2.0,8.0,3.0,3.0,0.0,0.0,0.0,91.0,1.0,1.0,7.0,33.0,6.0,10.0,0.0,15.0,0.0,54.0,0.0,0.0,2.0,1.0,4.0,5.0,45.0,0.0,5.0,3.0,10.0,3.0,7.0,7.0,1.0,4.0,1.0,74.0
2011-10,8.0,0.0,10.0,10.0,10.0,0.0,1.0,1.0,5.0,30.0,35.0,0.0,15.0,0.0,44.0,1.0,2.0,0.0,0.0,7.0,7.0,1.0,4.0,2.0,5.0,10.0,1.0,0.0,0.0,0.0,4.0,31.0,5.0,3.0,14.0,8.0,6.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,50.0,3.0,2.0,5.0,0.0,9.0,4.0,6.0,0.0,0.0,11.0,42.0,0.0,0.0,49.0,0.0,2.0,8.0,3.0,3.0,0.0,0.0,0.0,91.0,1.0,1.0,7.0,33.0,6.0,10.0,0.0,15.0,0.0,54.0,0.0,0.0,2.0,1.0,4.0,5.0,45.0,0.0,5.0,3.0,10.0,3.0,7.0,7.0,1.0,4.0,1.0,74.0
2011-11,8.0,0.0,10.0,10.0,10.0,0.0,1.0,1.0,5.0,30.0,35.0,0.0,15.0,0.0,44.0,1.0,2.0,0.0,0.0,7.0,7.0,1.0,4.0,2.0,5.0,10.0,1.0,0.0,0.0,0.0,4.0,31.0,5.0,3.0,14.0,8.0,6.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,50.0,3.0,2.0,5.0,0.0,9.0,4.0,6.0,0.0,0.0,11.0,42.0,0.0,0.0,49.0,0.0,2.0,8.0,3.0,3.0,0.0,0.0,0.0,91.0,1.0,1.0,7.0,33.0,6.0,10.0,0.0,15.0,0.0,54.0,0.0,0.0,2.0,1.0,4.0,5.0,45.0,0.0,5.0,3.0,10.0,3.0,7.0,7.0,1.0,4.0,1.0,74.0
2011-12,8.0,0.0,10.0,10.0,10.0,0.0,1.0,1.0,5.0,30.0,35.0,0.0,15.0,0.0,44.0,1.0,2.0,0.0,0.0,7.0,7.0,1.0,4.0,2.0,5.0,10.0,1.0,0.0,0.0,0.0,4.0,31.0,5.0,3.0,14.0,8.0,6.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,50.0,3.0,2.0,5.0,0.0,9.0,4.0,6.0,0.0,0.0,11.0,42.0,0.0,0.0,49.0,0.0,2.0,8.0,3.0,3.0,0.0,0.0,0.0,91.0,1.0,1.0,7.0,33.0,6.0,10.0,0.0,15.0,0.0,54.0,0.0,0.0,2.0,1.0,4.0,5.0,45.0,0.0,5.0,3.0,10.0,3.0,7.0,7.0,1.0,4.0,1.0,74.0
2011-13,8.0,0.0,10.0,10.0,10.0,0.0,1.0,1.0,5.0,30.0,35.0,0.0,15.0,0.0,44.0,1.0,2.0,0.0,0.0,7.0,7.0,1.0,4.0,2.0,5.0,10.0,1.0,0.0,0.0,0.0,4.0,31.0,5.0,3.0,14.0,8.0,6.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,50.0,3.0,2.0,5.0,0.0,9.0,4.0,6.0,0.0,0.0,11.0,42.0,0.0,0.0,49.0,0.0,2.0,8.0,3.0,3.0,0.0,0.0,0.0,91.0,1.0,1.0,7.0,33.0,6.0,10.0,0.0,15.0,0.0,54.0,0.0,0.0,2.0,1.0,4.0,5.0,45.0,0.0,5.0,3.0,10.0,3.0,7.0,7.0,1.0,4.0,1.0,74.0
2011-14,7.0,10.0,10.0,0.0,0.0,0.0,1.0,3.0,3.0,14.0,38.0,10.0,19.0,0.0,39.0,2.0,2.0,0.0,1.0,6.0,7.0,1.0,6.0,0.0,7.0,8.0,1.0,0.0,2.0,1.0,6.0,22.0,5.0,8.0,15.0,4.0,3.0,0.0,0.0,0.0,1.0,2.0,4.0,1.0,1.0,53.0,2.0,0.0,6.0,0.0,3.0,6.0,0.0,0.0,0.0,10.0,52.0,0.0,0.0,48.0,0.0,2.0,10.0,2.0,3.0,0.0,0.0,0.0,94.0,3.0,1.0,11.0,40.0,4.0,6.0,3.0,7.0,0.0,58.0,0.0,0.0,1.0,0.0,2.0,4.0,44.0,0.0,4.0,2.0,4.0,6.0,8.0,13.0,2.0,2.0,1.0,63.0
2011-15,7.0,10.0,10.0,0.0,0.0,0.0,1.0,3.0,3.0,14.0,38.0,10.0,19.0,0.0,39.0,2.0,2.0,0.0,1.0,6.0,7.0,1.0,6.0,0.0,7.0,8.0,1.0,0.0,2.0,1.0,6.0,22.0,5.0,8.0,15.0,4.0,3.0,0.0,0.0,0.0,1.0,2.0,4.0,1.0,1.0,53.0,2.0,0.0,6.0,0.0,3.0,6.0,0.0,0.0,0.0,10.0,52.0,0.0,0.0,48.0,0.0,2.0,10.0,2.0,3.0,0.0,0.0,0.0,94.0,3.0,1.0,11.0,40.0,4.0,6.0,3.0,7.0,0.0,58.0,0.0,0.0,1.0,0.0,2.0,4.0,44.0,0.0,4.0,2.0,4.0,6.0,8.0,13.0,2.0,2.0,1.0,63.0
2011-16,7.0,10.0,10.0,0.0,0.0,0.0,1.0,3.0,3.0,14.0,38.0,10.0,19.0,0.0,39.0,2.0,2.0,0.0,1.0,6.0,7.0,1.0,6.0,0.0,7.0,8.0,1.0,0.0,2.0,1.0,6.0,22.0,5.0,8.0,15.0,4.0,3.0,0.0,0.0,0.0,1.0,2.0,4.0,1.0,1.0,53.0,2.0,0.0,6.0,0.0,3.0,6.0,0.0,0.0,0.0,10.0,52.0,0.0,0.0,48.0,0.0,2.0,10.0,2.0,3.0,0.0,0.0,0.0,94.0,3.0,1.0,11.0,40.0,4.0,6.0,3.0,7.0,0.0,58.0,0.0,0.0,1.0,0.0,2.0,4.0,44.0,0.0,4.0,2.0,4.0,6.0,8.0,13.0,2.0,2.0,1.0,63.0
2011-17,7.0,10.0,10.0,0.0,0.0,0.0,1.0,3.0,3.0,14.0,38.0,10.0,19.0,0.0,39.0,2.0,2.0,0.0,1.0,6.0,7.0,1.0,6.0,0.0,7.0,8.0,1.0,0.0,2.0,1.0,6.0,22.0,5.0,8.0,15.0,4.0,3.0,0.0,0.0,0.0,1.0,2.0,4.0,1.0,1.0,53.0,2.0,0.0,6.0,0.0,3.0,6.0,0.0,0.0,0.0,10.0,52.0,0.0,0.0,48.0,0.0,2.0,10.0,2.0,3.0,0.0,0.0,0.0,94.0,3.0,1.0,11.0,40.0,4.0,6.0,3.0,7.0,0.0,58.0,0.0,0.0,1.0,0.0,2.0,4.0,44.0,0.0,4.0,2.0,4.0,6.0,8.0,13.0,2.0,2.0,1.0,63.0
2011-18,6.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,10.0,49.0,0.0,10.0,0.0,33.0,2.0,2.0,0.0,0.0,5.0,6.0,0.0,7.0,1.0,5.0,11.0,1.0,1.0,4.0,1.0,4.0,31.0,2.0,3.0,18.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,42.0,2.0,2.0,3.0,0.0,7.0,6.0,7.0,0.0,0.0,7.0,51.0,0.0,0.0,44.0,0.0,3.0,6.0,2.0,1.0,0.0,0.0,0.0,97.0,2.0,0.0,8.0,38.0,4.0,7.0,0.0,10.0,0.0,57.0,0.0,0.0,2.0,1.0,2.0,2.0,39.0,0.0,6.0,2.0,5.0,2.0,5.0,11.0,0.0,1.0,1.0,57.0
2011-19,6.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,10.0,49.0,0.0,10.0,0.0,33.0,2.0,2.0,0.0,0.0,5.0,6.0,0.0,7.0,1.0,5.0,11.0,1.0,1.0,4.0,1.0,4.0,31.0,2.0,3.0,18.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,42.0,2.0,2.0,3.0,0.0,7.0,6.0,7.0,0.0,0.0,7.0,51.0,0.0,0.0,44.0,0.0,3.0,6.0,2.0,1.0,0.0,0.0,0.0,97.0,2.0,0.0,8.0,38.0,4.0,7.0,0.0,10.0,0.0,57.0,0.0,0.0,2.0,1.0,2.0,2.0,39.0,0.0,6.0,2.0,5.0,2.0,5.0,11.0,0.0,1.0,1.0,57.0
