date,flu,treating flu,medicine for the flu,high fever,is the flu contagious,get over the flu,medicine for flu,how to get rid of the flu,fever cough,pneumonia,fever flu,flu type a,normal body,signs of flu,symptoms of the flu,cold or flu,stomach flu,flu 2018,cold versus flu,incubation period for flu,how long flu,treating the flu,flu treatments,flu complications,flu contagious,contagious flu,how to treat flu,flu fever,symptoms of bronchitis,cure the flu,flu vs cold,flu contagious period,bronchitis,flu test,signs of the flu,the flu virus,flu cough,treat flu,ear thermometer,taking temperature,treatment for flu,over the counter flu,reduce a fever,flu and cold,fight the flu,flu vs. cold,cure flu,human temperature,how to treat the flu,flu length,remedies for flu,how long does flu last,break a fever,flu shots,symptoms of flu,treat the flu,flu headache,flu report,incubation period for the flu,influenza a and b,how long is the flu contagious,normal body temperature,tamiflu,flu germs,flu lasts,thermoscan,flu treatment,is flu contagious,flu care,flu children,swine flu,cold vs flu,flu like symptoms,flu recovery,flu versus cold,exposed to flu,body temperature,influenza type a,flu medicine,symptoms,flu texas,the flu symptoms,flu shot,flu or cold,the flu,cold vs. flu,flu a symptoms,flu in children,do i have the flu,i have the flu,influenza incubation period,flu season,oscillococcinum,what is the flu,low body,remedies for the flu
2010-50,15.0,5.0,5.0,70.0,8.0,3.0,6.0,8.0,38.0,63.0,5.0,3.0,6.0,5.0,22.0,5.0,36.0,0.0,0.0,1.0,9.0,2.0,0.0,0.0,13.0,15.0,2.0,20.0,10.0,2.0,1.0,0.0,55.0,13.0,4.0,6.0,8.0,17.0,20.0,37.0,17.0,2.0,7.0,23.0,3.0,0.0,17.0,72.0,17.0,4.0,5.0,14.0,8.0,4.0,17.0,1.0,2.0,14.0,0.0,7.0,0.0,2.0,18.0,0.0,0.0,3.0,29.0,27.0,16.0,8.0,18.0,3.0,7.0,0.0,0.0,3.0,66.0,0.0,0.0,77.0,0.0,4.0,2.0,0.0,16.0,0.0,32.0,19.0,6.0,6.0,1.0,4.0,5.0,16.0,51.0,2.0
2010-51,15.0,5.0,5.0,70.0,8.0,3.0,6.0,8.0,38.0,63.0,5.0,3.0,6.0,5.0,22.0,5.0,36.0,0.0,0.0,1.0,9.0,2.0,0.0,0.0,13.0,15.0,2.0,20.0,10.0,2.0,1.0,0.0,55.0,13.0,4.0,6.0,8.0,17.0,20.0,37.0,17.0,2.0,7.0,23.0,3.0,0.0,17.0,72.0,17.0,4.0,5.0,14.0,8.0,4.0,17.0,1.0,2.0,14.0,0.0,7.0,0.0,2.0,18.0,0.0,0.0,3.0,29.0,27.0,16.0,8.0,18.0,3.0,7.0,0.0,0.0,3.0,66.0,0.0,0.0,77.0,0.0,4.0,2.0,0.0,16.0,0.0,32.0,19.0,6.0,6.0,1.0,4.0,5.0,16.0,51.0,2.0
2010-52,15.0,5.0,5.0,70.0,8.0,3.0,6.0,8.0,38.0,63.0,5.0,3.0,6.0,5.0,22.0,5.0,36.0,0.0,0.0,1.0,9.0,2.0,0.0,0.0,13.0,15.0,2.0,20.0,10.0,2.0,1.0,0.0,55.0,13.0,4.0,6.0,8.0,17.0,20.0,37.0,17.0,2.0,7.0,23.0,3.0,0.0,17.0,72.0,17.0,4.0,5.0,14.0,8.0,4.0,17.0,1.0,2.0,14.0,0.0,7.0,0.0,2.0,18.0,0.0,0.0,3.0,29.0,27.0,16.0,8.0,18.0,3.0,7.0,0.0,0.0,3.0,66.0,0.0,0.0,77.0,0.0,4.0,2.0,0.0,16.0,0.0,32.0,19.0,6.0,6.0,1.0,4.0,5.0,16.0,51.0,2.0
2011-01,15.0,5.0,5.0,70.0,8.0,3.0,6.0,8.0,38.0,63.0,5.0,3.0,6.0,5.0,22.0,5.0,36.0,0.0,0.0,1.0,9.0,2.0,0.0,0.0,13.0,15.0,2.0,20.0,10.0,2.0,1.0,0.0,55.0,13.0,4.0,6.0,8.0,17.0,20.0,37.0,17.0,2.0,7.0,23.0,3.0,0.0,17.0,72.0,17.0,4.0,5.0,14.0,8.0,4.0,17.0,1.0,2.0,14.0,0.0,7.0,0.0,2.0,18.0,0.0,0.0,3.0,29.0,27.0,16.0,8.0,18.0,3.0,7.0,0.0,0.0,3.0,66.0,0.0,0.0,77.0,0.0,4.0,2.0,0.0,16.0,0.0,32.0,19.0,6.0,6.0,1.0,4.0,5.0,16.0,51.0,2.0
2011-02,15.0,5.0,5.0,70.0,8.0,3.0,6.0,8.0,38.0,63.0,5.0,3.0,6.0,5.0,22.0,5.0,36.0,0.0,0.0,1.0,9.0,2.0,0.0,0.0,13.0,15.0,2.0,20.0,10.0,2.0,1.0,0.0,55.0,13.0,4.0,6.0,8.0,17.0,20.0,37.0,17.0,2.0,7.0,23.0,3.0,0.0,17.0,72.0,17.0,4.0,5.0,14.0,8.0,4.0,17.0,1.0,2.0,14.0,0.0,7.0,0.0,2.0,18.0,0.0,0.0,3.0,29.0,27.0,16.0,8.0,18.0,3.0,7.0,0.0,0.0,3.0,66.0,0.0,0.0,77.0,0.0,4.0,2.0,0.0,16.0,0.0,32.0,19.0,6.0,6.0,1.0,4.0,5.0,16.0,51.0,2.0
2011-03,15.0,5.0,5.0,70.0,8.0,3.0,6.0,8.0,38.0,63.0,5.0,3.0,6.0,5.0,22.0,5.0,36.0,0.0,0.0,1.0,9.0,2.0,0.0,0.0,13.0,15.0,2.0,20.0,10.0,2.0,1.0,0.0,55.0,13.0,4.0,6.0,8.0,17.0,20.0,37.0,17.0,2.0,7.0,23.0,3.0,0.0,17.0,72.0,17.0,4.0,5.0,14.0,8.0,4.0,17.0,1.0,2.0,14.0,0.0,7.0,0.0,2.0,18.0,0.0,0.0,3.0,29.0,27.0,16.0,8.0,18.0,3.0,7.0,0.0,0.0,3.0,66.0,0.0,0.0,77.0,0.0,4.0,2.0,0.0,16.0,0.0,32.0,19.0,6.0,6.0,1.0,4.0,5.0,16.0,51.0,2.0
2011-04,15.0,5.0,5.0,70.0,8.0,3.0,6.0,8.0,38.0,63.0,5.0,3.0,6.0,5.0,22.0,5.0,36.0,0.0,0.0,1.0,9.0,2.0,0.0,0.0,13.0,15.0,2.0,20.0,10.0,2.0,1.0,0.0,55.0,13.0,4.0,6.0,8.0,17.0,20.0,37.0,17.0,2.0,7.0,23.0,3.0,0.0,17.0,72.0,17.0,4.0,5.0,14.0,8.0,4.0,17.0,1.0,2.0,14.0,0.0,7.0,0.0,2.0,18.0,0.0,0.0,3.0,29.0,27.0,16.0,8.0,18.0,3.0,7.0,0.0,0.0,3.0,66.0,0.0,0.0,77.0,0.0,4.0,2.0,0.0,16.0,0.0,32.0,19.0,6.0,6.0,1.0,4.0,5.0,16.0,51.0,2.0
2011-05,15.0,5.0,5.0,70.0,8.0,3.0,6.0,8.0,38.0,63.0,5.0,3.0,6.0,5.0,22.0,5.0,36.0,0.0,0.0,1.0,9.0,2.0,0.0,0.0,13.0,15.0,2.0,20.0,10.0,2.0,1.0,0.0,55.0,13.0,4.0,6.0,8.0,17.0,20.0,37.0,17.0,2.0,7.0,23.0,3.0,0.0,17.0,72.0,17.0,4.0,5.0,14.0,8.0,4.0,17.0,1.0,2.0,14.0,0.0,7.0,0.0,2.0,18.0,0.0,0.0,3.0,29.0,27.0,16.0,8.0,18.0,3.0,7.0,0.0,0.0,3.0,66.0,0.0,0.0,77.0,0.0,4.0,2.0,0.0,16.0,0.0,32.0,19.0,6.0,6.0,1.0,4.0,5.0,16.0,51.0,2.0
2011-06,7.0,11.0,3.0,63.0,3.0,4.0,4.0,4.0,29.0,41.0,2.0,2.0,5.0,4.0,8.0,1.0,31.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,4.0,2.0,3.0,6.0,8.0,0.0,0.0,0.0,38.0,5.0,3.0,6.0,6.0,16.0,18.0,16.0,8.0,3.0,3.0,14.0,2.0,0.0,8.0,31.0,15.0,2.0,0.0,15.0,8.0,0.0,6.0,1.0,1.0,6.0,6.0,0.0,6.0,3.0,5.0,0.0,0.0,2.0,15.0,2.0,2.0,1.0,10.0,1.0,4.0,0.0,0.0,0.0,54.0,0.0,0.0,76.0,0.0,1.0,1.0,0.0,6.0,0.0,2.0,0.0,2.0,1.0,0.0,3.0,4.0,5.0,39.0,0.0
2011-07,7.0,11.0,3.0,63.0,3.0,4.0,4.0,4.0,29.0,41.0,2.0,2.0,5.0,4.0,8.0,1.0,31.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,4.0,2.0,3.0,6.0,8.0,0.0,0.0,0.0,38.0,5.0,3.0,6.0,6.0,16.0,18.0,16.0,8.0,3.0,3.0,14.0,2.0,0.0,8.0,31.0,15.0,2.0,0.0,15.0,8.0,0.0,6.0,1.0,1.0,6.0,6.0,0.0,6.0,3.0,5.0,0.0,0.0,2.0,15.0,2.0,2.0,1.0,10.0,1.0,4.0,0.0,0.0,0.0,54.0,0.0,0.0,76.0,0.0,1.0,1.0,0.0,6.0,0.0,2.0,0.0,2.0,1.0,0.0,3.0,4.0,5.0,39.0,0.0
2011-08,7.0,11.0,3.0,63.0,3.0,4.0,4.0,4.0,29.0,41.0,2.0,2.0,5.0,4.0,8.0,1.0,31.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,4.0,2.0,3.0,6.0,8.0,0.0,0.0,0.0,38.0,5.0,3.0,6.0,6.0,16.0,18.0,16.0,8.0,3.0,3.0,14.0,2.0,0.0,8.0,31.0,15.0,2.0,0.0,15.0,8.0,0.0,6.0,1.0,1.0,6.0,6.0,0.0,6.0,3.0,5.0,0.0,0.0,2.0,15.0,2.0,2.0,1.0,10.0,1.0,4.0,0.0,0.0,0.0,54.0,0.0,0.0,76.0,0.0,1.0,1.0,0.0,6.0,0.0,2.0,0.0,2.0,1.0,0.0,3.0,4.0,5.0,39.0,0.0
2011-09,7.0,11.0,3.0,63.0,3.0,4.0,4.0,4.0,29.0,41.0,2.0,2.0,5.0,4.0,8.0,1.0,31.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,4.0,2.0,3.0,6.0,8.0,0.0,0.0,0.0,38.0,5.0,3.0,6.0,6.0,16.0,18.0,16.0,8.0,3.0,3.0,14.0,2.0,0.0,8.0,31.0,15.0,2.0,0.0,15.0,8.0,0.0,6.0,1.0,1.0,6.0,6.0,0.0,6.0,3.0,5.0,0.0,0.0,2.0,15.0,2.0,2.0,1.0,10.0,1.0,4.0,0.0,0.0,0.0,54.0,0.0,0.0,76.0,0.0,1.0,1.0,0.0,6.0,0.0,2.0,0.0,2.0,1.0,0.0,3.0,4.0,5.0,39.0,0.0
2011-10,4.0,0.0,3.0,48.0,3.0,0.0,0.0,3.0,23.0,35.0,1.0,0.0,5.0,2.0,4.0,0.0,19.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,6.0,6.0,1.0,4.0,6.0,0.0,0.0,0.0,33.0,4.0,4.0,6.0,3.0,5.0,13.0,16.0,0.0,0.0,2.0,4.0,0.0,0.0,24.0,40.0,0.0,0.0,4.0,6.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,4.0,0.0,3.0,2.0,0.0,0.0,48.0,0.0,0.0,77.0,0.0,1.0,0.0,0.0,3.0,0.0,2.0,0.0,2.0,2.0,0.0,3.0,2.0,2.0,25.0,2.0
2011-11,4.0,0.0,3.0,48.0,3.0,0.0,0.0,3.0,23.0,35.0,1.0,0.0,5.0,2.0,4.0,0.0,19.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,6.0,6.0,1.0,4.0,6.0,0.0,0.0,0.0,33.0,4.0,4.0,6.0,3.0,5.0,13.0,16.0,0.0,0.0,2.0,4.0,0.0,0.0,24.0,40.0,0.0,0.0,4.0,6.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,4.0,0.0,3.0,2.0,0.0,0.0,48.0,0.0,0.0,77.0,0.0,1.0,0.0,0.0,3.0,0.0,2.0,0.0,2.0,2.0,0.0,3.0,2.0,2.0,25.0,2.0
2011-12,4.0,0.0,3.0,48.0,3.0,0.0,0.0,3.0,23.0,35.0,1.0,0.0,5.0,2.0,4.0,0.0,19.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,6.0,6.0,1.0,4.0,6.0,0.0,0.0,0.0,33.0,4.0,4.0,6.0,3.0,5.0,13.0,16.0,0.0,0.0,2.0,4.0,0.0,0.0,24.0,40.0,0.0,0.0,4.0,6.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,4.0,0.0,3.0,2.0,0.0,0.0,48.0,0.0,0.0,77.0,0.0,1.0,0.0,0.0,3.0,0.0,2.0,0.0,2.0,2.0,0.0,3.0,2.0,2.0,25.0,2.0
2011-13,4.0,0.0,3.0,48.0,3.0,0.0,0.0,3.0,23.0,35.0,1.0,0.0,5.0,2.0,4.0,0.0,19.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,6.0,6.0,1.0,4.0,6.0,0.0,0.0,0.0,33.0,4.0,4.0,6.0,3.0,5.0,13.0,16.0,0.0,0.0,2.0,4.0,0.0,0.0,24.0,40.0,0.0,0.0,4.0,6.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,4.0,0.0,3.0,2.0,0.0,0.0,48.0,0.0,0.0,77.0,0.0,1.0,0.0,0.0,3.0,0.0,2.0,0.0,2.0,2.0,0.0,3.0,2.0,2.0,25.0,2.0
2011-14,4.0,3.0,3.0,52.0,8.0,3.0,3.0,3.0,13.0,29.0,1.0,0.0,5.0,2.0,2.0,0.0,29.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,4.0,4.0,0.0,0.0,0.0,29.0,2.0,0.0,4.0,0.0,0.0,10.0,10.0,5.0,0.0,3.0,2.0,2.0,0.0,8.0,27.0,8.0,0.0,3.0,3.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,7.0,2.0,10.0,0.0,1.0,7.0,1.0,3.0,0.0,0.0,0.0,60.0,0.0,0.0,76.0,0.0,1.0,1.0,0.0,4.0,0.0,6.0,0.0,2.0,1.0,0.0,2.0,1.0,4.0,23.0,0.0
2011-15,4.0,3.0,3.0,52.0,8.0,3.0,3.0,3.0,13.0,29.0,1.0,0.0,5.0,2.0,2.0,0.0,29.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,4.0,4.0,0.0,0.0,0.0,29.0,2.0,0.0,4.0,0.0,0.0,10.0,10.0,5.0,0.0,3.0,2.0,2.0,0.0,8.0,27.0,8.0,0.0,3.0,3.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,7.0,2.0,10.0,0.0,1.0,7.0,1.0,3.0,0.0,0.0,0.0,60.0,0.0,0.0,76.0,0.0,1.0,1.0,0.0,4.0,0.0,6.0,0.0,2.0,1.0,0.0,2.0,1.0,4.0,23.0,0.0
2011-16,4.0,3.0,3.0,52.0,8.0,3.0,3.0,3.0,13.0,29.0,1.0,0.0,5.0,2.0,2.0,0.0,29.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,4.0,4.0,0.0,0.0,0.0,29.0,2.0,0.0,4.0,0.0,0.0,10.0,10.0,5.0,0.0,3.0,2.0,2.0,0.0,8.0,27.0,8.0,0.0,3.0,3.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,7.0,2.0,10.0,0.0,1.0,7.0,1.0,3.0,0.0,0.0,0.0,60.0,0.0,0.0,76.0,0.0,1.0,1.0,0.0,4.0,0.0,6.0,0.0,2.0,1.0,0.0,2.0,1.0,4.0,23.0,0.0
2011-17,4.0,3.0,3.0,52.0,8.0,3.0,3.0,3.0,13.0,29.0,1.0,0.0,5.0,2.0,2.0,0.0,29.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,4.0,4.0,0.0,0.0,0.0,29.0,2.0,0.0,4.0,0.0,0.0,10.0,10.0,5.0,0.0,3.0,2.0,2.0,0.0,8.0,27.0,8.0,0.0,3.0,3.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,7.0,2.0,10.0,0.0,1.0,7.0,1.0,3.0,0.0,0.0,0.0,60.0,0.0,0.0,76.0,0.0,1.0,1.0,0.0,4.0,0.0,6.0,0.0,2.0,1.0,0.0,2.0,1.0,4.0,23.0,0.0
2011-18,4.0,3.0,3.0,52.0,8.0,3.0,3.0,3.0,13.0,29.0,1.0,0.0,5.0,2.0,2.0,0.0,29.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,4.0,4.0,0.0,0.0,0.0,29.0,2.0,0.0,4.0,0.0,0.0,10.0,10.0,5.0,0.0,3.0,2.0,2.0,0.0,8.0,27.0,8.0,0.0,3.0,3.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,7.0,2.0,10.0,0.0,1.0,7.0,1.0,3.0,0.0,0.0,0.0,60.0,0.0,0.0,76.0,0.0,1.0,1.0,0.0,4.0,0.0,6.0,0.0,2.0,1.0,0.0,2.0,1.0,4.0,23.0,0.0
2011-19,3.0,0.0,0.0,39.0,3.0,0.0,4.0,3.0,13.0,22.0,1.0,0.0,3.0,1.0,2.0,2.0,18.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,19.0,2.0,2.0,2.0,2.0,8.0,11.0,11.0,0.0,2.0,4.0,5.0,0.0,0.0,12.0,36.0,0.0,0.0,0.0,4.0,9.0,1.0,1.0,0.0,0.0,7.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,5.0,1.0,3.0,0.0,0.0,0.0,45.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,22.0,0.0
