date,flu,flu recovery,having the flu,flu duration,remedies for the flu,influenza a and b,cure the flu,remedies for flu,flu season,dangerous fever,break a fever,flu versus cold,how long is the flu contagious,treating flu,pneumonia,flu how long,fever cough,flu lasts,braun thermoscan,the flu,flu symptoms,cold vs. flu,how long flu,how long is the flu,symptoms of flu,cold and flu,flu contagious period,treating the flu,flu children,reduce a fever,how long contagious,i have the flu,low body,flu treatment,is the flu contagious,do i have the flu,flu shot,cold versus flu,incubation period for the flu,flu vs cold,flu and fever,flu connecticut,flu headache,flu vs. cold,ct flu,high fever,cvs flu shot,medicine for flu,flu treatments,influenza type a,fight the flu,influenza symptoms,the flu virus,reduce fever,cdc,type a influenza,influenza incubation period,normal body temperature,how to treat the flu,flu virus,how long does the flu last,stomach flu,how long does flu last,swine flu,flu vaccine,over the counter flu,contagious flu,what to do if you have the flu,flu report,flu test,over the counter flu medicine,the flu symptoms,normal body,get rid of the flu,is flu contagious,flu germs,ear thermometer,early flu symptoms,how long is flu contagious,symptoms of the flu,treatment for flu,taking temperature,exposed to flu,flu in ct,flu contagious,bronchitis,get over the flu,symptoms of bronchitis,what is the flu,cold or flu,flu clinic,flu medicine,flu remedies,signs of the flu,treat flu,how to get rid of the flu,body temperature
2010-12-01,9,0,0,0,0,0,0,0,23,46,0,0,0,3,45,5,3,0,0,6,4,0,10,0,13,27,0,0,26,0,25,0,25,0,0,0,7,0,0,0,0,4,4,0,15,35,0,0,0,0,0,0,0,0,49,0,0,15,0,0,0,48,8,8,8,0,0,0,0,0,0,0,40,0,0,34,0,0,0,22,0,9,10,9,0,43,0,0,6,0,19,0,0,15,15,0,69
2011-01-01,12,0,0,0,0,0,0,7,7,29,0,0,0,0,44,5,2,0,1,11,8,0,10,0,14,17,0,0,0,0,10,10,21,1,0,0,8,0,0,22,44,2,2,0,5,33,0,0,0,0,0,22,22,0,32,0,0,0,0,9,0,35,0,20,20,0,11,0,11,0,0,16,19,0,0,21,0,0,0,21,0,6,0,18,6,51,4,16,8,0,0,0,0,10,10,0,58
2011-02-01,13,0,0,55,0,0,0,0,0,0,0,0,0,0,44,4,4,0,0,9,11,0,9,0,15,18,0,0,18,0,22,0,33,0,0,0,1,0,0,23,0,0,3,0,3,24,0,0,0,0,0,24,0,0,29,0,0,29,0,19,29,42,0,11,0,0,23,12,0,7,0,20,14,22,0,0,0,0,15,22,0,6,0,0,13,40,0,0,4,0,0,0,0,10,10,0,99
2011-03-01,9,0,0,0,0,0,7,0,7,0,29,0,0,0,54,4,3,0,0,6,4,0,8,0,10,24,0,0,16,0,30,0,25,1,0,0,3,0,0,0,21,3,5,0,0,38,11,0,0,0,0,0,22,0,41,0,2,9,0,18,0,10,5,10,0,10,0,0,0,6,0,6,25,20,20,0,0,0,0,13,0,0,0,12,0,64,4,4,4,0,0,12,12,9,9,0,61
2011-04-01,5,0,0,0,0,0,0,0,7,0,0,0,0,0,44,4,4,0,0,6,6,0,8,0,8,34,0,0,0,0,21,0,52,0,0,0,1,0,0,0,0,2,2,0,4,34,0,0,0,0,0,0,0,2,32,0,0,9,0,9,0,5,0,10,0,0,0,0,0,0,0,13,19,0,0,0,0,0,0,14,0,0,6,0,0,44,0,0,6,0,0,0,12,0,0,0,74
2011-05-01,4,0,0,0,0,0,0,0,8,0,30,0,0,0,33,0,6,0,0,5,5,0,0,0,8,17,0,0,0,0,0,0,31,1,1,0,1,0,0,0,0,0,0,0,2,17,0,0,0,0,0,0,23,0,54,0,0,0,0,0,0,5,0,15,5,11,11,0,0,0,0,19,13,0,21,0,0,0,0,0,0,6,0,6,6,45,0,4,4,0,0,12,0,0,0,0,24
2011-06-01,2,0,0,53,0,0,0,0,0,0,0,0,0,0,27,0,2,0,0,2,2,0,0,0,8,17,0,0,0,0,16,0,22,0,0,0,0,0,0,0,0,3,0,0,8,35,0,0,0,0,0,0,0,0,39,0,0,0,0,9,0,5,0,5,0,0,11,0,0,0,0,10,10,0,0,0,22,0,0,29,0,0,0,0,6,39,0,6,0,0,12,0,0,0,0,0,35
2011-07-01,3,0,0,0,0,0,0,0,0,0,32,0,0,0,22,0,0,0,0,1,1,0,0,0,4,0,0,0,0,0,11,0,22,0,0,0,1,0,0,0,0,0,0,0,3,12,0,0,0,0,0,0,0,0,24,0,0,20,0,0,0,11,0,0,0,0,0,0,0,0,0,0,21,0,0,0,23,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,31
2011-08-01,4,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,2,0,0,2,2,0,0,0,0,34,0,0,0,21,11,11,0,0,0,0,4,0,0,0,0,0,0,0,0,23,11,0,0,0,0,0,46,2,30,0,0,0,0,0,0,10,0,5,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,14,0,6,0,6,0,28,0,0,0,0,0,0,0,0,0,0,30
2011-09-01,10,0,0,0,0,0,0,7,14,0,0,0,0,0,45,3,0,0,0,6,3,0,6,0,8,16,0,0,0,0,20,10,10,0,0,0,17,0,0,0,0,0,0,0,2,22,22,0,0,0,0,43,0,2,35,0,0,9,0,9,9,0,5,10,19,10,0,0,0,0,0,19,31,0,0,0,0,0,0,13,0,0,0,12,0,51,0,6,7,0,12,0,35,9,0,0,66
2011-10-01,18,47,0,0,0,0,0,0,7,0,0,0,0,0,58,2,4,0,0,8,5,0,4,4,6,15,0,0,15,10,34,10,43,0,0,1,37,0,0,20,0,3,0,0,16,21,10,10,0,0,0,0,0,0,42,0,0,25,0,34,8,5,9,5,37,10,0,0,10,0,0,12,12,0,0,0,0,0,0,26,13,0,0,28,0,47,0,7,11,0,22,0,0,0,0,0,54
2011-11-01,16,0,0,0,0,0,0,0,0,0,28,0,0,0,61,2,2,0,0,8,7,0,4,4,4,16,0,0,32,10,29,10,39,1,1,0,22,0,0,0,0,5,2,0,8,26,11,0,0,0,0,21,0,0,29,0,0,9,0,0,0,5,5,14,28,0,21,0,21,12,0,6,18,20,0,0,40,13,13,13,0,6,0,6,11,54,0,0,4,0,11,11,11,0,0,9,32
2011-12-01,10,0,0,0,0,0,7,0,7,0,0,0,0,0,59,3,3,0,1,6,8,0,5,0,9,15,0,0,0,0,14,9,36,1,1,0,13,0,0,0,19,2,4,0,6,19,0,0,0,0,0,0,0,0,25,0,0,8,0,0,16,13,0,26,4,0,9,0,0,6,0,17,8,0,19,0,19,0,0,18,0,0,5,10,5,61,0,3,5,0,0,0,0,0,17,0,55
2012-01-01,11,0,0,0,0,0,6,6,15,0,0,0,0,0,62,3,7,0,0,7,9,0,7,0,5,27,0,0,0,0,17,8,30,1,1,0,5,0,0,18,18,2,2,0,9,9,0,0,0,0,18,18,18,1,35,0,0,15,0,22,0,20,0,8,4,0,9,0,0,0,0,5,8,35,17,0,35,0,0,0,11,0,0,5,5,46,0,6,3,10,10,0,10,0,0,8,28
2012-02-01,13,0,0,0,0,0,6,0,19,25,0,0,0,0,48,2,2,0,0,6,5,0,3,0,3,0,0,0,14,0,27,9,40,2,0,0,4,0,0,0,19,4,4,0,3,19,0,0,0,0,0,19,0,1,30,0,0,16,0,24,0,17,9,4,0,0,9,0,9,5,0,11,16,0,18,18,0,0,0,36,12,0,0,0,5,55,0,5,3,0,0,10,0,8,8,0,70
2012-03-01,7,0,0,0,0,0,0,0,6,0,25,0,0,0,57,3,2,0,1,4,6,0,5,3,0,0,0,0,0,9,31,9,48,2,1,0,4,0,0,0,0,2,0,0,4,24,0,9,0,0,19,0,19,1,31,0,0,15,0,8,0,38,8,4,8,0,23,0,0,0,0,5,22,0,36,0,0,0,18,0,0,5,0,8,13,69,0,5,0,0,0,10,20,0,0,0,49
2012-04-01,8,0,0,0,0,0,0,7,0,26,0,0,0,2,37,2,2,0,1,6,3,0,4,0,5,15,0,0,15,0,36,0,18,2,0,0,2,0,0,0,0,2,0,0,3,10,0,0,0,0,0,0,0,0,43,0,0,16,0,0,8,4,4,9,9,0,10,10,0,0,0,11,17,0,0,0,0,0,0,12,0,5,0,5,5,34,0,0,3,0,0,11,0,9,0,0,60
2012-05-01,5,0,0,0,0,6,0,6,6,0,0,0,0,0,42,2,2,0,0,3,2,0,3,0,7,14,0,0,0,0,17,9,34,1,0,0,1,0,0,0,0,0,0,0,2,32,0,0,0,0,0,0,0,0,34,0,0,0,0,8,0,12,0,8,4,0,0,0,0,0,0,5,11,0,0,0,0,0,0,0,12,10,0,5,0,37,0,3,6,0,0,0,0,0,8,0,100
2012-06-01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,33,4,0,0,0,3,3,0,7,0,4,0,0,0,0,0,18,0,32,0,0,0,1,0,0,0,0,0,2,0,2,24,0,0,0,0,0,0,20,0,47,0,0,0,0,16,0,4,0,4,4,0,0,0,9,6,0,6,17,0,0,0,0,0,0,0,0,0,0,10,0,38,0,3,7,0,0,11,0,0,0,0,55
2012-07-01,5,0,0,0,0,6,0,0,9,0,0,0,0,0,33,2,3,0,1,3,1,0,3,0,7,0,0,0,14,0,22,0,26,0,0,0,2,0,0,0,0,0,0,0,2,24,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,4,4,4,8,0,0,0,0,0,0,5,16,0,0,0,18,0,0,0,0,10,0,0,0,25,3,0,3,0,0,0,0,0,0,8,49
2012-08-01,5,0,43,0,0,0,0,0,6,0,0,0,0,0,48,2,0,0,0,1,3,0,3,0,3,14,0,0,0,0,31,0,13,1,0,0,3,0,0,0,0,2,0,0,4,19,0,0,0,0,0,0,0,0,38,0,0,0,0,8,0,9,0,21,4,0,0,0,0,0,0,0,11,0,18,0,18,0,0,0,0,10,0,5,0,31,3,0,0,0,0,0,0,0,0,0,62
2012-09-01,12,0,0,0,0,0,0,0,0,24,24,0,0,0,34,2,0,0,1,6,4,0,3,0,13,21,0,0,14,0,30,9,43,0,0,0,12,0,0,0,36,2,2,0,8,14,14,9,0,0,0,18,0,0,43,0,0,30,0,30,0,4,0,8,20,0,0,0,0,0,0,8,26,0,0,0,35,0,0,0,11,0,0,5,0,43,0,3,3,0,10,0,0,0,0,0,64
2012-10-01,15,0,0,0,0,0,0,6,14,0,22,0,0,0,43,5,2,0,0,8,7,0,9,0,6,13,0,0,26,8,12,16,32,1,0,1,47,0,0,0,17,2,2,0,22,26,13,0,0,0,0,0,0,1,41,0,0,14,0,14,0,4,4,4,34,0,8,0,0,0,0,12,10,0,0,0,32,11,0,21,0,0,0,18,5,42,0,4,6,0,37,0,0,0,0,0,78
2012-11-01,13,0,0,0,0,0,0,0,12,23,0,0,23,0,52,3,3,0,0,9,7,0,6,3,11,39,0,0,0,0,36,8,8,0,0,0,23,0,0,0,0,4,2,0,9,17,35,0,0,0,0,0,0,0,36,0,0,7,0,7,0,23,4,19,27,0,0,0,0,5,0,5,15,16,0,16,0,0,0,0,0,0,0,7,0,53,0,3,3,9,9,9,9,0,8,0,26
2012-12-01,21,20,40,20,0,0,0,3,4,12,23,0,23,1,57,11,4,0,0,20,15,0,21,5,17,30,0,0,7,4,39,8,22,2,1,0,12,0,9,17,17,1,1,0,7,35,11,7,0,9,0,18,9,1,19,1,0,18,11,14,11,29,0,14,12,8,19,0,0,2,0,30,21,21,21,8,8,0,11,33,16,2,2,7,11,72,2,8,5,5,0,33,0,6,10,4,36
2013-01-01,56,25,25,25,0,4,0,4,31,22,29,0,22,1,72,22,2,0,0,45,44,0,44,4,45,95,0,0,50,0,54,18,13,3,2,1,52,0,0,0,0,5,2,0,50,17,52,14,0,0,11,45,22,1,33,1,1,13,0,40,22,46,12,10,47,11,38,0,8,19,0,63,17,41,47,0,21,24,21,100,20,0,0,52,21,76,2,9,13,12,24,59,18,12,5,10,62
2013-02-01,14,0,0,39,0,0,6,6,6,0,22,0,22,3,55,6,5,0,1,14,16,0,12,6,11,26,0,0,19,8,44,8,16,2,1,0,8,0,0,0,0,5,2,0,8,17,8,0,0,0,0,0,0,0,36,1,1,14,0,0,7,34,8,8,8,0,21,0,0,0,0,44,29,0,32,0,0,11,0,27,11,5,0,9,11,64,0,3,4,9,0,0,0,11,7,0,59
2013-03-01,10,0,35,35,0,0,0,0,8,41,20,0,0,0,42,5,1,0,0,10,7,0,10,3,17,12,0,0,0,0,29,7,14,1,0,1,3,0,0,0,0,2,2,0,14,12,8,8,0,0,0,0,31,1,39,0,0,19,0,6,6,31,7,3,17,8,15,0,0,9,0,13,13,0,15,0,15,0,0,34,10,0,0,10,8,51,0,5,4,0,8,8,0,7,0,14,47
2013-04-01,10,0,0,0,0,0,0,5,5,21,0,0,0,0,49,5,4,0,0,8,7,0,10,0,9,36,0,0,0,0,37,7,26,0,0,1,2,0,16,0,0,0,0,0,3,12,8,8,0,0,0,0,16,3,51,1,0,6,0,13,0,14,7,7,7,0,0,0,8,9,0,14,16,15,0,0,30,20,0,30,0,0,0,4,0,66,0,4,6,9,0,9,0,0,7,0,69
2013-05-01,4,0,0,0,0,5,0,0,0,21,21,0,0,0,38,1,2,0,0,5,2,0,3,0,3,0,0,0,0,0,30,7,26,1,0,0,1,0,0,0,0,2,0,0,3,16,0,8,0,0,0,16,0,1,34,0,0,20,0,20,0,11,4,4,4,0,0,0,0,5,0,0,16,0,0,0,23,0,0,10,10,4,0,4,0,33,0,3,0,0,9,0,0,0,0,0,42
2013-06-01,4,0,0,0,0,0,0,0,0,22,22,0,0,0,30,2,2,0,0,2,1,0,3,0,0,25,0,0,0,0,27,0,42,1,1,0,3,0,0,0,0,2,0,0,4,46,0,0,0,0,0,17,17,0,33,0,0,14,0,7,0,15,0,0,15,0,16,0,0,0,0,0,14,0,16,0,16,0,0,0,0,4,4,4,9,28,0,6,3,0,18,9,0,0,0,0,43
2013-07-01,3,0,0,0,0,0,0,0,0,0,21,0,0,0,28,0,2,0,1,1,3,0,0,0,3,0,0,0,0,0,34,0,22,2,0,0,1,0,0,0,0,0,2,0,2,16,8,0,0,0,0,0,0,0,34,0,0,0,0,0,0,14,0,0,0,8,0,0,0,0,0,5,9,0,0,0,0,0,0,10,0,0,0,4,0,24,0,0,0,0,0,0,0,0,0,0,32
2013-08-01,3,0,0,0,0,0,0,0,5,0,0,0,0,0,21,0,3,0,1,3,1,0,0,0,0,12,0,0,0,0,22,7,26,0,0,0,1,0,0,0,16,2,0,0,3,32,8,8,0,0,0,0,16,1,23,0,0,0,0,0,0,7,0,4,25,0,0,0,0,0,0,5,5,0,0,0,23,10,0,0,0,0,0,9,0,13,0,3,3,0,0,9,0,0,0,0,35
2013-09-01,14,36,36,36,0,0,0,0,11,0,0,0,0,0,39,6,4,0,1,7,4,0,11,3,3,18,12,0,12,0,25,0,29,2,1,0,28,0,0,0,0,5,0,0,16,20,24,8,0,0,16,0,0,1,24,0,0,13,0,6,6,7,7,0,38,0,11,0,8,0,0,9,16,0,29,0,0,0,10,0,0,4,0,8,6,23,3,3,0,0,34,0,0,7,0,0,75
2013-10-01,23,34,34,0,0,0,5,0,17,20,0,0,0,0,40,3,1,0,1,11,6,0,7,0,5,17,0,0,34,0,24,35,28,2,0,0,49,0,0,15,15,5,5,0,25,15,22,7,0,0,0,30,15,0,46,0,0,6,0,0,6,23,3,7,27,7,7,0,0,0,0,6,19,0,0,0,0,0,0,0,9,0,0,12,4,39,0,3,3,0,8,8,0,6,0,0,71
2013-11-01,13,35,35,0,0,0,0,5,10,0,0,0,0,0,45,3,3,0,0,13,7,0,6,0,7,23,0,0,12,0,43,7,39,1,1,0,28,0,0,15,0,2,0,0,9,15,8,8,0,0,0,0,16,0,34,0,0,6,0,25,0,14,10,0,38,0,19,0,7,4,0,18,18,0,0,15,29,10,0,24,0,4,0,8,10,58,0,4,8,8,17,8,8,0,7,0,50
2013-12-01,14,0,0,0,0,5,0,5,5,0,19,0,19,0,46,6,3,0,0,10,8,0,12,3,4,22,0,0,11,7,44,14,17,0,1,0,14,0,0,14,0,2,2,0,11,37,15,0,0,0,15,15,15,1,24,0,0,0,0,18,12,39,3,3,3,0,14,0,14,8,0,17,21,0,0,14,14,9,9,14,0,0,4,12,8,51,0,5,4,0,0,8,16,0,6,0,26
2014-01-01,31,0,0,32,0,5,0,5,16,37,18,0,18,1,58,11,3,0,0,19,20,0,23,5,19,58,0,0,26,0,26,6,26,1,3,0,31,0,0,14,14,6,2,0,17,28,17,10,0,14,0,28,14,2,36,2,0,23,0,23,23,62,15,12,28,13,34,7,7,8,0,20,10,20,26,0,0,18,17,43,9,4,4,26,19,65,0,10,5,7,22,22,7,12,0,9,82
2014-02-01,15,0,35,0,0,5,0,0,5,20,0,0,40,0,48,11,4,0,0,13,11,0,22,4,14,23,0,0,11,0,28,7,18,0,2,0,8,0,0,15,15,0,2,0,12,27,0,8,0,0,0,15,0,1,34,1,0,31,13,13,44,48,20,3,17,7,30,15,7,9,0,4,22,14,22,0,14,10,10,24,0,4,4,8,16,41,0,5,3,8,8,0,8,7,13,7,53
2014-03-01,14,0,64,32,0,0,5,0,7,19,0,0,0,0,58,8,2,0,0,12,11,0,15,3,13,53,0,0,0,0,46,0,36,2,1,0,4,0,0,14,0,8,3,0,5,35,7,0,0,14,28,0,14,0,38,1,0,0,6,17,6,22,9,6,13,7,21,0,0,12,0,26,16,13,13,0,40,9,0,26,18,6,4,11,11,64,0,10,2,8,0,15,30,9,0,6,77
2014-04-01,12,0,35,35,0,5,5,5,10,0,0,0,0,0,59,7,0,0,0,10,8,0,14,4,8,23,12,0,12,15,50,0,25,0,1,1,2,0,0,0,15,3,3,0,10,23,0,8,0,16,0,0,0,2,33,1,0,6,0,13,19,35,7,10,3,0,19,0,0,7,0,11,11,0,22,15,0,0,19,24,10,4,4,13,10,75,0,5,0,0,0,0,0,7,0,0,37
2014-05-01,5,0,0,0,0,0,0,0,8,16,0,0,0,1,27,2,1,0,0,4,4,0,3,0,4,9,0,0,0,0,29,6,20,0,1,0,1,0,0,0,0,0,1,0,4,25,0,12,0,0,0,12,12,0,26,0,0,5,0,10,10,17,0,0,0,0,6,0,0,0,0,5,21,0,0,0,0,0,8,31,0,3,0,0,3,43,0,2,0,7,0,7,0,0,0,0,38
2014-06-01,4,0,0,0,0,0,0,0,8,21,21,0,0,0,31,3,2,0,0,1,2,0,6,0,6,12,0,0,0,7,22,0,38,1,0,0,1,0,0,0,0,0,2,0,2,12,8,8,0,0,0,16,16,2,30,0,0,0,0,0,0,4,0,0,7,0,0,0,0,0,0,9,5,0,0,0,15,0,0,0,0,9,4,4,0,35,0,0,4,9,0,0,0,0,0,0,28
2014-07-01,5,0,0,0,0,0,0,0,0,0,0,0,0,0,29,2,0,0,0,3,3,0,3,0,3,0,0,0,0,0,30,0,26,0,0,0,1,0,0,0,0,0,0,0,3,28,0,9,0,0,0,0,0,1,33,0,0,0,0,15,0,0,0,0,4,0,9,0,0,0,0,5,8,0,0,0,18,0,0,0,12,0,0,0,5,33,0,0,0,0,0,0,0,0,0,0,49
2014-08-01,8,0,0,0,0,0,0,0,0,0,28,0,0,0,31,0,0,0,0,4,2,0,0,0,4,16,0,0,16,10,35,0,15,1,1,1,5,0,0,0,0,2,0,0,5,11,0,0,0,0,0,0,0,2,57,0,0,9,0,9,0,5,0,0,14,0,10,10,0,0,0,0,12,0,0,0,40,13,0,27,0,0,0,6,6,35,0,0,4,0,11,0,0,0,0,0,18
2014-09-01,15,0,0,0,0,0,0,0,14,0,27,0,0,0,30,4,3,0,0,6,3,0,7,0,15,38,0,0,15,0,14,0,42,4,0,0,23,0,0,0,0,2,0,0,15,15,10,0,0,0,0,0,0,0,44,0,0,8,0,8,0,0,0,0,18,0,0,0,0,6,0,17,17,0,0,0,0,0,0,25,13,8,0,8,0,27,0,0,4,0,0,11,0,0,18,0,92
2014-10-01,31,44,0,0,0,0,6,0,13,0,26,0,0,0,56,4,4,0,0,11,7,0,9,3,12,44,0,0,22,0,14,9,23,1,0,0,63,0,0,19,19,4,2,0,23,24,44,10,0,0,0,0,0,0,100,0,0,0,0,16,0,4,0,4,52,0,0,0,0,6,0,8,8,0,0,0,0,12,0,12,0,5,0,16,0,70,0,7,5,0,31,0,0,0,0,0,55
2014-11-01,14,0,47,0,0,0,0,0,14,0,27,0,0,0,55,4,4,0,0,11,6,0,8,0,15,55,0,0,16,0,44,0,10,3,1,1,34,0,0,20,0,0,2,0,12,26,26,0,0,21,21,0,0,2,49,2,0,0,0,26,0,9,0,0,37,0,21,0,10,18,0,18,6,20,20,0,60,0,0,33,0,6,0,11,11,57,0,0,4,11,56,0,0,0,18,0,41
2014-12-01,15,0,0,0,0,7,0,7,7,0,28,0,28,0,49,7,10,0,0,10,11,0,13,6,13,55,0,0,16,0,49,0,19,3,0,0,20,0,0,0,0,2,2,0,10,21,0,0,0,21,0,0,43,0,46,2,2,26,0,26,9,14,9,0,19,20,41,0,0,6,0,12,18,0,20,0,0,13,13,13,0,0,0,0,23,77,4,4,7,0,0,0,11,9,0,0,68
2015-01-01,24,0,45,0,0,7,0,0,17,0,0,0,66,0,83,14,5,0,0,19,26,0,29,4,18,45,0,0,15,9,42,9,37,2,2,1,11,0,0,40,0,5,2,0,13,35,20,0,0,0,0,0,0,0,41,1,0,16,8,33,25,18,9,4,22,10,29,0,0,11,0,26,26,0,38,0,19,12,25,31,12,0,5,8,16,75,0,18,3,11,22,0,11,9,13,0,65
2015-02-01,20,95,0,48,0,0,0,0,7,0,0,0,28,0,52,12,2,0,0,12,21,0,25,0,13,40,0,0,0,0,83,0,34,2,0,0,5,0,0,41,21,0,2,0,13,11,0,0,0,0,0,21,0,2,49,0,0,9,9,17,17,28,14,37,14,10,36,0,0,12,0,21,9,0,0,20,0,13,13,52,0,0,6,8,20,57,0,0,6,11,0,0,0,18,18,9,41
2015-03-01,13,45,0,0,0,7,7,0,7,0,0,0,52,2,54,12,5,0,0,12,8,0,23,4,11,29,0,0,15,0,41,9,14,1,2,0,2,0,0,0,39,0,0,0,4,24,0,10,0,0,20,39,0,1,44,0,0,0,0,24,8,53,13,0,4,0,29,0,0,6,0,22,17,19,37,19,37,0,0,12,0,0,5,0,16,72,0,0,7,0,0,11,11,9,8,9,43
