date,flu,flu recovery,having the flu,flu duration,remedies for the flu,influenza,influenza a and b,cure the flu,remedies for flu,flu shots,dangerous fever,break a fever,2018 flu,how long is the flu contagious,medicine for the flu,treating flu,pneumonia,fever cough,flu and cold,flu lasts,braun thermoscan,flu symptoms,cure flu,cold vs. flu,how long flu,symptoms of flu,fever reducer,cold and flu,flu contagious period,flu children,incubation period for flu,colorado flu,reduce a fever,i have the flu,low body,treat the flu,flu treatment,do i have the flu,flu shot,flu shot walgreens,flu denver,incubation period for the flu,flu vs cold,flu and fever,flu care,flu vs. cold,human temperature,high fever,medicine for flu,cold vs flu,influenza type a,fight the flu,flu a symptoms,the flu virus,how to treat flu,reduce fever,type a influenza,influenza incubation period,thermoscan,normal body temperature,how to treat the flu,how long does the flu last,fever flu,stomach flu,how long does flu last,flu vaccine,flu cough,over the counter flu,contagious flu,flu report,symptoms,fever,signs of flu,normal body,flu or cold,get rid of the flu,is flu contagious,ear thermometer,flu fever,early flu symptoms,how long is flu contagious,treatment for flu,taking temperature,exposed to flu,flu contagious,bronchitis,get over the flu,stomach flu symptoms,symptoms of bronchitis,oscillococcinum,cold or flu,flu medicine,flu remedies,signs of the flu,treat flu,how to get rid of the flu,body temperature
2010-11-01,19,0,0,0,0,24,0,0,0,14,0,0,0,0,0,0,36,0,25,0,0,15,0,0,2,24,0,12,0,0,0,20,0,20,30,0,20,2,20,2,2,0,22,22,22,0,30,40,0,22,0,0,44,51,0,0,0,25,0,100,0,0,6,33,0,34,0,0,10,0,77,13,0,99,0,0,0,20,20,0,0,0,14,0,14,47,0,13,0,29,0,0,0,0,10,10,49
2010-12-01,14,0,0,45,0,22,0,0,5,5,6,3,0,0,0,0,46,33,16,0,0,8,0,0,2,16,0,8,0,0,0,20,0,19,39,0,58,0,6,0,2,0,22,22,22,0,20,50,0,22,0,0,44,100,50,0,0,25,0,25,0,0,0,55,5,19,0,0,19,0,81,12,0,16,0,0,0,0,39,0,0,0,0,0,28,49,5,25,5,0,0,0,0,0,0,0,39
2011-01-01,19,28,0,28,0,26,2,2,0,5,2,2,0,2,2,0,65,20,36,0,10,21,0,0,6,15,0,17,0,4,4,12,4,12,42,0,18,0,5,1,2,0,0,0,13,0,12,37,0,0,0,0,14,0,0,31,0,0,31,38,0,7,10,27,7,0,6,6,6,0,87,13,0,20,20,10,10,36,42,12,12,0,0,0,9,84,0,10,10,47,24,0,12,0,0,0,48
2011-02-01,21,0,28,28,0,48,2,0,3,2,0,0,0,2,0,0,75,41,10,0,0,26,1,0,2,15,0,5,0,4,0,15,0,24,37,0,24,2,5,0,4,14,27,14,14,0,37,69,25,27,14,0,28,31,0,31,32,0,23,46,0,0,10,34,3,18,12,6,12,0,84,18,0,82,0,10,31,24,30,0,24,0,9,0,18,73,0,5,3,36,0,36,24,12,0,6,43
2011-03-01,12,0,26,0,0,40,0,2,0,0,5,5,0,0,0,2,66,19,19,0,9,16,0,0,6,16,0,9,0,0,4,8,0,11,33,0,22,0,2,0,2,0,0,13,0,0,22,57,0,0,13,0,13,0,0,0,29,0,28,21,0,6,13,16,6,5,8,5,5,0,81,15,0,37,0,0,0,0,27,0,0,0,16,0,8,74,0,9,7,16,11,16,11,6,0,0,39
2011-04-01,8,0,0,0,0,14,0,0,0,0,2,2,0,0,0,0,50,24,10,0,10,4,0,0,1,9,0,5,0,4,0,12,4,0,23,0,17,0,3,0,0,0,0,0,13,0,12,41,12,0,0,0,0,29,0,0,0,0,14,43,0,3,0,26,3,6,0,0,8,0,80,12,0,57,10,0,0,0,11,0,0,0,0,0,12,50,0,8,3,11,11,0,11,0,0,0,28
2011-05-01,5,0,0,0,0,7,0,0,0,0,0,2,0,2,0,0,44,10,0,0,0,4,0,0,1,19,0,0,0,4,0,0,0,12,29,0,23,1,0,0,0,0,0,13,0,0,35,47,0,0,0,0,0,30,0,30,0,0,0,29,0,3,0,7,3,0,11,0,6,0,77,12,0,48,0,0,0,12,0,0,0,0,8,0,8,46,0,0,6,11,0,11,0,0,0,0,40
2011-06-01,5,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,41,21,16,0,10,4,0,0,0,5,0,8,0,0,0,4,0,12,44,0,13,0,0,0,1,0,0,0,14,0,19,38,0,0,0,0,0,0,0,0,0,0,0,47,0,4,0,11,7,6,0,0,12,0,84,12,0,21,10,10,0,12,12,0,0,0,9,0,18,38,0,3,0,0,12,12,0,0,0,6,12
2011-07-01,4,0,0,0,0,10,0,0,0,2,0,0,0,0,0,0,24,0,0,0,0,6,0,0,0,9,4,0,0,8,0,4,0,0,22,0,11,0,2,0,1,0,0,0,0,0,11,57,0,0,0,0,37,0,0,43,0,0,0,14,0,0,0,25,0,5,5,0,0,0,88,12,0,46,0,0,9,11,22,0,11,0,12,0,0,26,0,9,6,11,0,11,0,0,0,0,33
2011-08-01,6,0,0,0,0,3,0,0,2,2,2,2,0,0,0,0,32,9,9,0,0,5,0,0,3,7,4,5,0,0,0,4,8,0,28,0,11,0,2,0,3,0,0,0,0,0,11,34,0,0,0,0,13,0,0,28,0,0,0,14,0,3,6,6,6,5,0,0,0,0,88,10,0,28,0,9,0,0,16,0,0,0,0,0,0,19,0,3,3,0,0,0,11,0,0,0,44
2011-09-01,16,0,0,0,0,15,2,2,0,21,2,5,0,0,0,0,41,10,0,0,0,12,0,0,1,9,0,0,5,4,0,10,0,11,56,0,11,0,22,1,4,0,25,0,0,0,11,40,0,25,0,0,13,0,0,29,0,0,0,43,0,0,3,6,0,30,5,0,5,0,100,12,0,38,0,0,0,11,11,0,0,0,8,0,8,32,0,3,6,0,0,11,0,0,0,0,39
2011-10-01,23,0,24,0,0,19,0,2,0,28,2,2,0,1,0,0,47,9,13,0,0,11,1,0,1,12,0,6,0,9,3,24,3,0,30,0,20,0,35,2,4,0,34,11,17,0,26,41,0,34,0,12,12,26,26,26,0,0,13,32,0,0,0,20,0,59,0,0,10,0,79,11,0,34,0,17,0,0,30,0,0,0,11,0,15,43,3,9,5,0,0,0,20,0,0,5,46
2011-11-01,21,0,0,25,0,22,0,2,4,7,0,2,0,1,0,0,57,18,35,0,9,10,2,0,3,15,9,17,0,4,0,22,4,11,42,0,11,0,18,1,3,0,12,12,12,0,11,38,0,12,0,0,12,27,0,0,0,0,0,20,0,0,6,60,0,31,5,0,10,0,67,12,0,35,0,0,9,0,26,0,0,8,15,0,15,64,0,6,8,0,31,15,15,0,5,0,74
2011-12-01,13,24,24,0,0,9,0,0,0,5,2,2,0,3,0,1,51,13,30,0,0,15,0,0,3,8,0,15,0,3,3,10,0,10,36,10,10,0,6,0,1,0,17,0,0,0,21,21,0,17,0,0,23,0,39,26,0,13,0,26,0,3,0,49,6,10,5,0,10,0,64,12,0,34,0,0,0,0,20,0,10,7,14,0,15,55,0,12,5,15,0,0,10,5,10,0,35
2012-01-01,14,0,22,0,0,10,2,2,0,6,3,2,0,1,1,0,67,16,32,0,0,15,0,0,4,17,6,15,4,0,3,10,0,0,47,0,24,0,4,1,1,0,32,11,11,0,19,24,19,32,11,0,11,24,0,61,24,0,0,12,0,0,8,29,3,9,0,5,9,0,81,13,0,16,8,0,16,9,19,9,9,0,7,0,14,68,0,7,4,18,9,14,14,0,5,0,33
2012-02-01,17,0,0,0,0,25,0,0,0,4,1,3,0,0,0,0,66,12,19,0,0,15,0,0,3,25,8,9,0,0,3,5,6,0,56,0,9,0,3,1,1,0,0,0,10,0,33,57,9,0,10,0,26,24,0,24,24,0,0,29,0,5,13,29,5,5,5,9,9,0,86,14,0,31,0,0,0,18,32,18,18,0,7,0,13,72,0,7,7,23,0,9,27,0,9,5,32
2012-03-01,13,0,0,22,0,19,0,0,3,0,1,2,0,1,0,1,65,35,15,0,0,13,0,0,1,21,4,8,0,6,0,11,3,9,23,9,0,0,2,1,2,0,10,10,21,0,19,56,0,10,10,0,10,0,0,47,24,12,17,52,0,0,3,36,0,9,4,0,7,0,77,15,0,15,0,0,23,9,27,0,9,7,7,7,10,67,0,2,6,0,0,13,44,5,0,0,50
2012-04-01,9,0,0,0,0,16,2,0,0,0,2,3,0,1,0,0,52,23,8,0,0,6,1,0,2,4,0,4,0,3,0,3,0,9,38,9,9,1,3,0,2,0,0,0,0,0,10,29,0,0,0,0,0,36,24,72,0,0,12,24,12,3,5,24,3,5,0,0,14,0,79,13,0,39,0,0,8,14,14,0,9,0,10,0,20,70,0,4,4,9,0,9,18,0,0,0,65
2012-05-01,8,0,0,21,0,11,0,0,3,1,0,3,0,0,0,0,44,11,11,0,8,12,1,0,1,7,0,6,4,3,0,6,0,28,50,0,9,0,1,0,1,0,0,21,0,0,9,33,9,0,0,0,31,24,0,0,0,0,11,29,0,3,8,31,3,7,0,0,4,0,81,12,0,46,8,0,0,9,27,0,18,0,6,0,7,43,2,4,4,0,9,9,9,0,0,5,46
2012-06-01,6,0,0,0,0,11,0,0,2,2,0,2,0,0,1,0,31,12,0,0,8,5,1,0,1,4,0,0,0,0,3,7,3,0,14,0,19,1,2,0,2,0,11,0,11,0,10,58,0,11,0,0,11,49,0,24,0,0,12,0,0,0,0,19,0,9,0,0,9,0,79,13,0,16,0,8,0,9,19,0,19,0,7,7,14,35,0,7,0,9,0,9,0,5,0,0,33
2012-07-01,5,0,20,0,0,5,0,0,0,1,0,1,1,0,0,0,33,14,14,0,0,3,0,0,1,7,0,7,0,0,0,9,0,9,56,0,0,1,1,0,1,0,0,0,0,0,26,26,0,0,0,10,10,0,0,44,0,0,0,33,0,0,0,22,0,0,0,0,4,0,75,11,0,21,14,0,7,8,17,0,0,6,0,0,6,24,0,9,2,0,17,8,0,0,0,0,43
2012-08-01,8,0,18,18,0,8,0,1,1,6,1,1,0,0,0,0,29,13,13,0,7,8,1,0,1,3,3,6,0,3,0,8,0,0,55,0,0,1,3,0,1,0,9,17,9,0,16,40,8,9,0,0,9,40,0,20,0,0,10,15,10,0,0,7,2,17,4,0,4,0,78,12,0,58,6,0,0,0,8,0,8,0,6,0,6,31,0,4,4,0,11,8,0,0,0,0,27
2012-09-01,16,0,20,20,0,22,0,0,2,15,1,1,0,1,1,0,48,11,7,0,7,11,0,0,3,7,0,4,0,7,0,10,3,9,74,0,9,1,15,1,2,0,10,10,29,0,31,40,9,10,0,0,10,44,22,22,0,0,17,22,0,5,2,5,7,34,4,0,9,0,79,10,0,44,7,0,0,0,13,0,9,0,12,0,13,47,2,3,2,8,8,8,8,0,4,0,52
2012-10-01,25,0,0,0,0,23,0,0,2,21,0,1,0,1,0,0,42,9,12,0,6,17,0,0,3,24,0,6,0,11,0,28,0,11,19,0,7,0,35,1,4,0,8,0,21,0,19,30,0,8,8,8,8,38,0,19,19,0,9,24,0,4,4,27,4,53,5,0,7,0,84,12,0,31,0,0,6,15,18,0,0,0,21,5,11,61,0,7,8,7,7,25,7,0,0,0,33
2012-11-01,21,0,19,19,0,25,0,0,2,7,1,1,0,0,1,0,56,17,42,0,14,18,0,0,3,22,3,20,0,6,3,18,0,8,62,8,25,0,18,0,4,0,28,0,18,0,17,42,8,28,9,0,14,32,21,63,21,0,10,26,10,5,5,51,5,30,6,0,12,0,75,12,0,41,7,0,7,16,12,0,0,6,12,6,18,51,2,6,4,12,8,12,8,0,0,0,41
2012-12-01,36,55,74,37,0,36,1,3,6,16,1,1,0,1,1,0,69,20,30,0,13,33,1,0,7,37,5,15,0,4,0,39,3,16,40,0,48,0,25,4,4,0,9,22,27,0,16,45,32,9,9,0,22,81,31,41,20,10,10,15,20,4,13,99,4,39,8,4,23,0,77,17,0,53,0,7,26,8,51,8,20,14,11,6,34,96,0,10,3,8,8,23,23,0,12,0,43
2013-01-01,85,17,34,34,0,69,3,1,3,40,2,2,0,3,2,0,80,31,64,0,6,85,1,0,18,85,9,31,3,19,10,89,5,29,40,7,62,2,56,7,10,0,29,0,37,0,22,67,19,29,12,16,66,65,47,56,28,19,9,32,0,10,19,62,17,98,18,11,52,0,86,18,0,31,31,18,12,29,54,11,25,21,8,5,76,96,4,14,9,25,28,43,18,4,4,11,51
2013-02-01,29,0,19,58,0,52,2,2,3,5,2,0,0,2,1,0,77,31,31,0,7,30,2,0,8,30,10,15,3,4,4,31,3,21,54,12,33,2,8,0,1,0,14,9,18,0,13,84,0,14,19,0,23,63,21,42,43,10,0,26,10,2,9,77,2,24,14,0,10,0,79,15,0,34,21,0,7,16,28,0,0,6,12,6,15,95,4,12,6,44,28,20,16,4,4,0,78
2013-03-01,15,0,18,18,0,17,3,0,0,1,0,1,0,2,0,0,47,29,19,0,6,16,0,0,5,16,6,10,0,3,3,5,5,15,66,0,8,0,2,0,1,0,26,0,9,0,28,63,8,26,0,0,13,49,20,20,0,0,0,29,0,11,9,19,11,8,11,0,13,0,73,14,0,39,0,0,6,15,34,0,15,6,0,0,19,68,2,9,2,30,7,15,22,0,0,0,53
2013-04-01,11,0,17,0,0,10,0,0,0,2,0,2,0,0,0,0,46,12,12,0,6,12,0,0,1,10,3,6,3,5,2,5,0,7,55,7,11,0,1,0,1,0,16,8,0,0,34,64,0,16,0,0,16,56,19,0,0,0,0,42,9,4,10,29,4,9,4,0,4,0,74,14,0,43,0,0,0,22,29,0,0,5,5,0,5,50,0,5,4,14,7,7,11,0,4,0,58
2013-05-01,8,0,0,0,0,10,0,0,0,0,1,0,0,0,0,1,45,33,13,0,7,4,0,0,1,7,3,7,0,0,0,7,0,8,44,0,8,0,1,0,0,0,9,9,0,0,12,53,0,9,0,0,9,0,0,0,0,0,10,10,0,2,5,32,2,6,0,4,4,0,71,12,0,40,13,0,7,16,12,0,8,6,6,0,6,52,0,2,2,8,16,8,16,4,0,0,44
2013-06-01,6,18,18,0,0,4,0,0,0,1,0,1,0,0,0,0,37,6,6,0,6,6,0,0,1,9,6,3,0,5,0,8,3,15,19,0,8,1,1,0,1,0,9,0,0,0,31,43,8,9,0,0,26,0,0,20,0,0,0,14,0,0,2,36,0,4,4,0,0,0,73,12,0,32,0,0,0,15,8,0,0,5,0,0,0,33,0,8,4,0,0,0,7,0,0,8,34
2013-07-01,6,0,0,0,0,2,0,0,0,1,0,3,1,1,0,0,31,14,0,0,7,5,1,0,1,5,0,0,0,0,0,7,0,8,50,0,0,1,1,0,1,0,0,0,9,0,25,30,0,0,0,0,9,21,0,0,0,0,10,10,0,2,5,16,2,0,0,0,0,0,77,11,0,28,0,0,0,8,12,0,0,6,12,0,0,22,0,4,2,8,8,0,8,0,4,4,21
2013-08-01,6,0,19,0,0,8,0,0,2,2,0,0,0,0,0,0,28,30,0,0,0,3,0,0,2,3,3,0,0,0,0,8,0,0,44,0,8,0,3,0,1,0,0,0,9,0,8,41,8,0,0,0,0,0,0,0,0,0,0,10,0,0,2,23,0,8,4,0,4,0,75,12,0,41,7,0,0,12,8,0,0,6,0,0,6,30,0,3,3,0,8,16,0,0,0,0,24
2013-09-01,17,0,0,0,0,11,2,0,0,17,0,0,0,0,0,0,47,7,21,0,7,7,1,0,1,7,0,10,0,6,0,18,3,8,50,8,0,0,20,3,3,0,0,9,9,0,13,51,0,0,0,0,14,64,21,21,0,0,16,26,0,2,0,19,5,51,4,4,0,0,67,10,0,42,14,0,0,8,16,8,0,6,0,6,0,39,0,2,4,12,16,8,8,0,0,0,37
2013-10-01,29,17,17,0,0,17,0,1,1,34,1,2,0,1,1,0,56,31,13,0,0,12,1,0,3,20,3,6,0,5,0,42,5,7,52,7,7,0,45,3,3,0,21,8,21,0,31,15,11,21,0,0,8,19,0,19,0,0,9,28,0,4,4,30,4,60,0,4,5,0,71,12,0,81,0,0,6,11,22,15,7,5,0,5,8,51,0,3,7,11,14,15,7,0,0,0,67
2013-11-01,24,19,19,0,0,29,0,2,2,17,0,0,0,1,0,0,55,24,24,0,10,15,1,0,2,12,3,12,0,6,0,24,6,25,58,0,8,0,30,3,2,0,0,9,23,0,21,34,0,0,0,0,19,21,0,42,0,0,10,21,10,0,5,40,0,40,12,4,4,0,68,13,0,35,14,0,7,16,25,0,8,0,12,6,6,70,2,4,7,16,16,0,16,0,0,0,29
2013-12-01,31,17,17,17,0,28,0,1,3,9,2,2,0,2,1,0,72,45,57,0,6,29,3,0,10,25,4,28,3,4,4,23,6,11,36,7,29,1,12,1,3,0,0,12,16,0,33,55,15,0,8,0,36,65,37,46,18,14,46,9,0,6,18,84,10,16,12,5,23,0,69,15,0,42,18,6,42,29,75,0,32,8,5,0,34,93,0,15,4,10,14,24,14,4,4,4,50
2014-01-01,47,32,16,24,0,52,1,1,4,14,1,1,0,1,0,1,83,26,43,0,0,41,0,0,13,62,3,21,3,7,5,39,2,38,38,14,27,1,26,3,4,0,23,39,15,0,14,42,14,23,15,0,43,44,53,35,35,17,0,26,9,18,14,68,21,40,15,3,39,0,75,16,0,58,12,6,12,17,54,10,10,15,5,0,57,81,2,11,5,17,17,30,20,7,3,0,66
2014-02-01,21,0,0,17,0,19,1,0,3,1,4,2,0,0,1,0,77,15,25,0,0,22,1,0,3,36,9,12,0,3,5,14,3,15,33,0,15,1,5,0,1,8,16,8,8,0,11,37,7,16,8,8,12,19,19,75,19,9,0,51,0,10,6,35,10,5,7,4,9,0,69,12,0,67,0,0,6,0,22,7,0,8,8,0,13,80,2,8,4,18,14,18,18,4,0,4,77
2014-03-01,13,15,29,15,0,15,2,1,1,2,1,1,0,0,2,1,63,29,5,0,5,11,1,0,2,23,3,3,0,3,0,9,6,0,60,9,6,1,3,0,2,0,7,0,7,0,23,52,13,7,0,0,28,32,16,32,0,0,8,20,0,5,4,36,7,9,6,0,6,0,71,16,0,63,0,0,11,6,12,0,6,5,5,4,9,71,0,6,7,6,24,12,15,0,3,9,25
2014-04-01,11,0,0,24,0,9,0,0,1,1,1,2,0,1,1,0,65,20,6,0,6,10,1,0,1,10,3,3,0,0,0,8,2,7,41,0,17,2,2,0,1,0,15,0,8,0,21,31,7,15,8,0,11,17,17,26,17,9,0,21,9,2,0,29,4,10,3,0,8,0,72,14,0,57,6,0,6,0,13,0,7,5,7,0,12,62,2,4,4,0,7,10,7,7,0,0,74
2014-05-01,9,0,0,0,0,7,0,1,0,1,1,1,0,0,0,0,58,26,9,0,6,8,1,0,1,6,4,4,3,0,0,4,0,7,55,7,7,1,1,0,1,8,12,8,0,0,14,49,14,12,0,8,16,18,0,0,0,0,0,31,0,0,6,44,2,3,3,0,10,0,74,15,0,57,6,0,6,7,14,0,0,0,0,0,15,49,2,5,3,7,7,14,13,0,0,0,20
2014-06-01,7,0,0,0,0,6,0,0,0,1,1,3,0,0,0,0,49,17,14,0,7,6,0,0,1,10,0,7,0,3,0,8,3,8,45,0,16,0,1,0,2,0,0,9,0,0,13,21,8,0,9,0,9,0,0,21,21,0,10,21,0,2,7,35,2,10,4,0,4,0,69,13,0,55,14,0,0,8,24,0,0,0,0,0,6,45,0,2,4,8,16,8,8,0,4,0,57
2014-07-01,6,0,0,0,0,7,0,0,1,1,2,2,0,0,0,1,31,7,13,0,0,5,0,0,1,6,0,6,3,0,0,5,0,8,66,0,8,0,0,0,1,0,9,9,0,0,20,32,0,9,0,9,9,0,0,0,0,0,0,20,0,0,0,11,0,9,0,0,4,0,73,14,0,52,0,13,0,0,15,0,0,0,0,0,6,22,0,2,2,0,0,15,8,0,0,0,38
2014-08-01,7,0,0,0,0,8,0,0,0,1,0,2,0,0,0,0,45,22,15,0,0,8,1,0,1,12,6,8,0,0,0,3,2,15,29,7,7,0,3,0,1,0,8,16,8,0,19,30,0,8,0,0,49,0,0,37,0,0,0,9,0,0,0,19,0,7,11,0,7,0,77,13,0,31,0,0,6,7,7,0,7,0,5,0,11,41,0,6,4,0,0,7,7,0,0,0,44
2014-09-01,18,0,17,0,0,17,0,0,0,14,1,1,0,0,0,0,52,16,19,0,6,9,0,0,2,12,3,9,0,0,3,28,3,7,41,0,0,0,20,1,1,8,12,12,0,0,19,41,8,12,8,0,8,38,19,0,19,0,0,19,0,0,6,12,0,43,4,0,5,0,78,15,0,31,0,0,6,7,22,0,7,0,0,5,8,62,0,4,5,14,0,7,11,0,4,0,48
2014-10-01,36,17,17,0,0,24,0,1,1,31,0,0,0,1,0,0,62,6,18,0,0,16,1,0,4,9,3,9,0,8,0,35,3,15,33,0,22,0,60,5,5,0,16,8,33,0,11,45,7,16,0,0,25,37,0,47,0,0,9,60,0,2,4,8,6,100,11,4,5,0,91,14,0,61,6,18,12,11,18,0,0,0,5,0,8,46,0,5,4,7,7,18,14,0,4,4,69
2014-11-01,25,0,0,0,0,16,0,0,2,18,4,0,0,0,1,0,58,28,25,0,0,20,1,0,3,31,3,12,0,6,0,17,3,8,34,17,21,0,29,3,2,9,14,9,9,0,21,17,0,14,19,0,9,54,0,22,43,11,0,32,0,2,7,50,2,29,8,8,10,0,70,14,0,35,0,0,0,8,25,8,0,0,6,0,15,53,4,8,3,8,8,8,8,0,4,4,54
2014-12-01,53,0,0,19,0,76,1,1,2,8,1,2,0,3,1,1,72,17,50,0,7,59,1,0,20,79,8,25,7,21,14,45,4,16,48,16,32,1,19,1,8,27,22,13,22,0,20,74,16,22,22,9,50,62,72,31,52,35,15,51,10,9,23,93,14,45,12,8,64,0,72,17,0,74,7,20,54,12,51,0,51,12,6,6,95,100,2,4,9,16,19,19,19,4,28,0,44
2015-01-01,37,19,28,19,0,43,3,1,4,4,1,0,0,2,1,0,77,44,44,0,7,45,1,0,12,33,5,21,7,8,3,34,6,20,24,12,16,2,7,0,3,0,45,13,18,0,16,53,8,45,9,0,18,41,31,41,21,20,20,20,20,9,16,50,11,23,10,0,25,0,77,17,0,81,20,7,47,24,52,8,28,12,0,6,38,91,0,8,5,8,24,23,16,0,12,4,52
2015-02-01,22,0,30,20,0,39,2,0,2,0,1,2,0,1,1,0,82,62,47,0,0,21,1,0,7,18,4,23,0,6,3,25,6,26,48,43,13,1,6,1,3,0,14,14,19,0,18,71,9,14,0,0,10,44,22,55,0,11,11,22,0,10,15,34,10,15,8,4,27,0,74,19,0,43,14,0,14,0,47,13,17,0,0,0,40,93,2,12,2,8,17,25,25,0,0,4,39
2015-03-01,15,0,0,0,0,26,2,0,2,3,1,1,0,1,1,0,87,29,44,0,7,19,0,0,6,7,9,21,4,12,6,3,9,13,39,0,13,1,4,0,1,10,20,15,10,0,31,58,9,20,0,10,24,68,0,34,0,0,11,39,11,5,10,27,7,13,13,0,26,0,71,20,0,44,22,0,22,13,39,0,9,6,6,6,38,70,2,8,5,9,26,26,17,0,4,0,48
