date,flu,flu recovery,having the flu,flu duration,remedies for the flu,influenza,influenza a and b,cure the flu,remedies for flu,flu shots,dangerous fever,break a fever,flu versus cold,medicine for the flu,treating flu,pneumonia,flu how long,flu and cold,flu lasts,braun thermoscan,the flu,cure flu,cold vs. flu,how long flu,how long is the flu,fever reducer,cold and flu,flu contagious period,treating the flu,wisconsin flu,flu 2019,incubation period for flu,reduce a fever,i have the flu,low body,treat the flu,flu treatment,do i have the flu,flu shot,flu 2018,flu shot walgreens,incubation period for the flu,flu vs cold,flu and fever,flu care,flu vs. cold,human temperature,high fever,flu in wisconsin,flu treatments,cold vs flu,influenza type a,fight the flu,the flu virus,how to treat flu,reduce fever,cdc,influenza incubation period,thermoscan,normal body temperature,how to treat the flu,how long does the flu last,fever flu,stomach flu,how long does flu last,flu vaccine,flu cough,over the counter flu,contagious flu,flu report,signs of flu,over the counter flu medicine,normal body,get rid of the flu,is flu contagious,flu germs,ear thermometer,early flu symptoms,how long is flu contagious,symptoms of the flu,treatment for flu,taking temperature,exposed to flu,flu contagious,flu length,get over the flu,stomach flu symptoms,symptoms of bronchitis,what is the flu,cold or flu,flu medicine,flu remedies,flu shot side effects,flu complications,signs of the flu,treat flu,how to get rid of the flu
2010-11-01,21,0,84,84,0,10,0,2,0,32,9,0,0,0,0,58,0,3,0,0,14,0,0,0,0,0,37,0,0,19,0,0,0,24,48,0,0,0,23,0,0,0,0,0,30,0,42,0,0,0,0,0,0,0,3,0,41,0,0,0,0,0,0,29,0,43,11,0,11,0,0,0,78,0,0,0,0,0,0,24,0,0,0,0,0,0,60,0,60,0,25,0,25,0,67,0,0
2010-12-01,17,0,0,84,0,7,0,0,0,9,0,9,0,0,0,70,6,7,0,0,20,9,0,26,9,19,75,0,0,19,0,0,0,0,0,0,24,0,12,0,0,0,0,0,0,0,21,0,0,0,0,0,0,3,0,0,66,0,0,0,0,0,8,37,5,11,0,0,21,20,0,0,98,33,33,0,32,0,0,24,24,0,0,58,0,0,30,30,0,0,0,25,100,0,0,0,0
2011-01-01,18,0,0,100,0,8,0,0,0,5,5,0,0,0,2,53,3,3,0,0,16,0,0,15,5,0,33,0,0,17,0,0,6,21,50,0,28,0,8,0,0,18,18,0,18,0,12,12,0,0,18,18,0,2,0,0,44,0,0,25,0,3,9,39,3,6,19,0,0,0,0,0,46,57,0,39,0,0,0,14,14,11,0,0,0,0,44,35,53,15,22,59,15,0,0,40,79
2011-02-01,17,0,0,52,0,19,0,0,1,5,5,6,0,0,0,73,2,1,0,0,20,0,0,10,5,0,11,11,0,24,0,6,0,15,51,0,14,1,4,0,0,0,18,0,18,0,39,26,13,37,18,18,18,2,0,2,51,0,0,79,0,0,3,29,3,20,13,0,10,24,12,0,24,20,20,0,39,0,0,15,15,12,0,24,12,0,36,36,0,15,15,23,0,0,40,81,0
2011-03-01,13,0,48,0,0,15,0,0,1,0,5,0,5,0,0,52,5,3,0,0,7,10,0,17,5,0,31,0,0,8,0,0,5,14,27,0,13,0,3,0,0,0,17,0,0,0,12,60,0,0,17,0,0,0,2,2,44,0,0,73,0,3,3,23,3,6,6,6,12,0,11,0,33,55,18,18,18,0,0,41,13,11,0,22,0,0,17,50,17,0,0,14,0,0,0,56,75
2011-04-01,8,48,48,0,0,7,1,0,0,0,5,5,0,0,0,46,0,2,0,0,7,0,0,10,5,0,21,0,0,6,0,0,0,0,27,0,14,0,1,0,0,0,0,0,0,0,0,24,12,0,0,0,0,0,2,0,44,0,0,24,0,3,6,15,3,6,6,0,6,0,0,0,56,0,18,0,19,0,0,14,28,0,0,11,0,0,26,26,26,0,14,0,0,38,0,0,0
2011-05-01,5,0,0,0,0,5,0,0,0,5,0,0,0,0,0,28,2,0,0,0,7,0,0,7,5,0,0,0,0,0,0,0,0,14,27,0,0,0,1,0,0,0,17,17,17,0,0,0,0,0,17,0,0,0,0,0,58,0,0,74,0,0,6,9,0,15,6,0,0,0,0,0,22,19,0,0,0,0,14,14,0,0,0,0,0,0,51,34,17,0,14,0,0,0,0,0,38
2011-06-01,4,0,0,0,0,6,0,0,0,6,6,6,0,0,0,32,0,0,0,0,3,0,0,0,0,12,0,0,0,0,0,0,0,0,22,0,0,1,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,46,0,0,53,0,0,3,3,0,13,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,15,0,0,0,0,0,0
2011-07-01,4,0,0,49,0,4,0,0,0,5,0,0,0,0,2,34,2,1,0,0,2,0,0,5,0,0,11,0,0,9,0,0,0,0,35,0,14,0,1,0,0,0,0,0,0,0,25,37,0,0,0,0,0,2,0,2,44,0,0,50,0,0,3,5,0,6,0,0,0,0,0,0,23,0,0,0,19,0,0,14,0,11,0,0,0,0,0,18,0,0,29,15,0,0,0,0,0
2011-08-01,6,0,46,0,0,1,0,0,0,7,0,5,0,0,0,30,3,1,0,0,4,5,0,7,5,10,10,0,0,11,0,0,0,13,26,0,13,0,2,0,0,0,0,0,0,0,0,12,0,0,0,0,17,0,0,4,31,0,24,24,0,6,6,16,6,12,0,0,0,0,11,0,21,0,0,0,0,0,0,13,0,0,0,0,0,0,16,16,0,0,14,0,0,0,0,0,0
2011-09-01,14,0,0,0,0,4,0,0,1,43,0,0,0,2,0,39,5,2,0,0,10,0,0,14,0,0,21,0,0,11,0,0,5,13,33,0,13,0,18,0,1,0,0,0,33,0,12,23,0,0,0,0,0,0,0,0,43,0,0,0,0,3,3,9,3,36,0,0,6,0,0,0,43,0,0,0,27,0,0,13,0,0,0,0,0,0,25,17,17,0,0,14,21,0,0,0,0
2011-10-01,22,44,45,0,0,10,0,1,1,61,0,5,0,0,0,59,3,2,0,0,14,0,0,9,0,10,24,0,0,15,0,5,0,0,56,0,38,0,41,0,1,15,0,0,47,0,0,22,22,0,0,0,0,0,0,0,48,0,0,44,0,4,4,14,4,56,6,0,11,10,10,0,62,0,0,0,0,13,13,0,13,10,10,20,0,15,31,0,47,0,13,0,91,0,35,34,0
2011-11-01,17,0,0,86,0,5,0,1,0,28,0,5,0,0,0,43,4,2,0,1,15,0,0,11,7,10,24,0,0,8,0,0,10,37,43,12,0,1,24,0,1,0,0,0,15,0,0,54,0,0,0,0,0,0,0,0,51,0,0,66,0,0,4,17,3,28,8,0,11,0,0,0,50,0,34,17,17,0,12,25,12,0,0,30,0,15,31,0,15,26,19,39,32,0,34,34,0
2011-12-01,21,84,42,0,0,9,0,0,1,9,0,5,5,1,0,55,10,2,0,0,20,0,0,34,4,0,19,9,0,10,0,0,0,12,30,12,30,0,10,0,0,15,30,15,15,0,32,11,21,0,30,0,0,0,0,0,30,22,0,22,0,5,7,51,4,16,11,0,16,0,0,0,29,16,24,0,16,0,12,30,12,0,0,29,0,0,82,15,75,25,37,13,12,0,100,0,33
2012-01-01,17,40,0,40,0,9,0,1,0,4,4,0,0,0,0,52,10,2,0,0,13,8,0,20,6,9,27,0,0,9,0,0,0,23,40,0,23,1,2,0,0,0,21,14,0,0,20,10,0,0,21,14,0,3,0,1,35,0,0,61,0,5,4,56,7,20,5,5,8,9,19,0,56,15,31,0,0,11,11,46,23,0,0,9,0,0,85,29,43,12,24,12,0,0,31,32,0
2012-02-01,14,0,40,0,0,9,0,0,1,8,4,4,0,0,0,62,3,1,0,1,12,8,0,10,4,9,13,0,0,5,0,5,5,0,51,11,28,0,4,0,0,0,0,14,14,0,10,80,0,14,0,0,0,3,1,1,49,0,20,0,0,2,6,31,2,8,5,0,8,0,0,0,27,30,15,0,15,0,11,11,11,0,0,18,0,14,28,56,28,12,12,0,12,0,31,31,31
2012-03-01,12,0,39,0,0,13,1,0,0,8,4,6,0,0,0,71,3,2,0,0,14,0,0,16,10,0,26,0,0,7,0,0,0,0,39,0,11,0,4,0,0,0,0,21,0,0,30,20,10,14,0,0,0,1,0,0,50,0,0,100,20,2,5,35,2,8,8,0,10,9,0,0,27,15,30,0,30,0,23,34,11,0,0,27,0,28,42,42,14,0,12,12,12,0,0,0,0
2012-04-01,7,0,41,0,0,7,0,0,0,0,4,9,0,0,0,36,1,2,0,2,5,0,0,4,0,9,19,0,0,10,0,5,0,0,41,12,0,0,1,0,0,0,0,0,0,0,0,31,10,0,0,15,0,0,0,0,37,0,0,62,21,3,3,19,3,11,10,0,13,0,19,0,29,0,16,0,32,0,0,12,12,0,0,28,0,0,30,45,15,12,24,12,0,0,32,33,0
2012-05-01,7,0,0,0,0,3,0,0,0,4,0,0,0,0,0,43,1,2,0,1,7,0,0,7,4,8,20,0,0,6,0,0,0,10,36,10,10,0,1,0,0,0,13,0,0,0,27,45,0,0,13,13,0,2,1,0,34,0,18,0,0,4,2,16,4,7,0,0,9,0,0,0,41,28,21,0,14,0,15,10,0,24,0,16,0,0,19,32,13,11,0,0,0,0,0,28,0
2012-06-01,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,27,1,0,0,0,2,0,0,4,0,9,0,0,0,5,0,0,0,0,33,0,0,1,0,0,0,0,14,0,0,0,0,20,0,0,14,0,0,0,0,0,41,0,0,20,0,0,0,11,0,5,5,5,5,0,0,0,36,0,0,0,45,0,0,0,0,9,0,9,0,0,0,14,0,0,0,0,0,0,0,0,31
2012-07-01,4,0,0,0,0,3,0,0,0,4,4,4,0,0,0,24,1,1,0,0,4,0,0,3,0,7,15,0,0,4,0,0,0,0,53,0,0,0,2,0,0,0,0,24,0,0,0,17,0,0,0,0,0,0,0,1,33,0,0,0,0,0,2,6,0,4,0,0,0,0,8,0,55,0,0,0,13,0,0,0,0,0,0,0,0,0,24,12,0,0,0,0,0,0,0,0,0
2012-08-01,8,70,35,0,0,4,0,0,0,13,4,0,0,0,1,40,1,2,0,1,6,4,0,4,4,0,23,0,0,14,0,4,0,0,45,0,10,0,4,0,1,0,0,37,13,0,9,17,9,0,0,0,0,1,0,1,40,0,0,35,0,0,2,8,0,7,4,0,0,0,0,0,41,14,0,0,0,0,0,10,0,0,0,0,0,0,25,19,0,0,0,0,0,0,0,0,0
2012-09-01,16,0,0,0,0,5,0,0,0,13,4,5,0,0,0,44,1,3,0,1,9,3,0,3,3,7,30,0,0,14,0,0,0,19,34,0,10,1,24,0,2,0,0,12,12,0,26,26,0,0,0,0,0,0,1,0,43,0,17,52,0,4,2,8,4,30,0,4,4,0,0,8,46,13,0,0,13,19,0,24,10,0,0,8,0,12,36,24,60,20,10,10,25,0,27,27,0
2012-10-01,21,31,0,0,0,9,0,0,1,60,6,3,0,0,0,59,4,2,0,0,16,0,0,12,3,7,20,0,0,19,0,0,0,9,43,13,9,0,40,0,2,0,11,0,27,0,23,23,0,11,11,11,0,1,0,0,54,0,0,0,0,2,4,20,4,46,4,0,8,0,0,0,49,12,23,0,12,9,0,39,0,7,0,0,0,0,27,22,43,13,9,0,63,24,24,36,0
2012-11-01,19,0,0,0,0,11,1,1,1,42,0,4,0,0,0,58,5,2,0,1,17,4,0,14,0,8,24,0,0,12,0,0,0,20,36,0,10,0,25,0,2,0,25,13,25,0,9,18,18,13,25,0,0,2,0,1,44,0,0,18,0,0,2,29,4,25,7,0,7,0,8,0,58,14,28,0,14,0,10,41,10,0,0,16,0,13,57,25,13,0,11,26,26,0,0,0,0
2012-12-01,36,0,64,32,0,33,1,1,1,21,7,0,3,0,1,80,11,2,0,1,37,0,0,39,20,28,21,0,0,19,0,4,0,9,50,9,14,2,17,0,2,17,11,34,34,0,0,57,8,12,11,17,0,1,0,1,31,16,0,16,0,5,10,64,8,31,4,0,18,0,22,7,45,19,68,25,0,9,23,32,9,7,0,44,0,11,80,51,69,10,19,33,10,26,0,25,51
2013-01-01,78,0,65,33,0,56,1,1,1,66,3,5,7,0,1,69,17,3,0,1,68,3,0,48,11,7,29,7,0,75,0,8,4,60,42,0,28,2,48,0,7,0,35,17,81,0,33,41,49,0,35,29,23,4,0,2,56,17,0,50,0,12,11,52,15,89,14,4,31,38,45,15,53,25,44,0,25,28,56,70,9,15,7,22,7,23,87,29,98,24,77,29,38,0,51,26,77
2013-02-01,23,0,49,0,0,24,1,1,1,4,4,4,4,1,1,69,10,1,0,1,24,3,0,30,5,7,11,0,0,6,0,4,8,19,56,0,14,0,5,0,0,0,12,35,23,0,8,41,17,0,12,18,0,0,0,1,42,17,17,17,17,5,12,46,7,15,10,4,19,0,0,0,45,13,19,0,0,0,9,37,9,0,7,30,0,0,64,41,29,10,29,39,10,26,78,52,0
2013-03-01,16,29,0,57,0,11,1,0,1,0,3,6,0,0,1,48,6,1,0,0,16,9,0,20,3,9,10,6,0,10,0,3,0,20,61,8,33,1,4,0,1,10,10,21,10,0,14,64,0,10,10,0,10,2,0,0,45,0,14,58,14,9,6,35,12,4,11,0,7,0,20,0,13,11,11,11,45,8,8,16,8,0,0,13,0,0,41,25,15,13,9,8,9,0,23,23,22
2013-04-01,13,0,0,0,0,9,0,0,0,6,3,3,0,0,0,66,4,1,0,1,13,0,0,16,4,0,10,0,0,8,0,7,0,8,53,0,8,0,1,0,0,0,0,10,0,0,0,22,7,0,0,0,0,3,1,0,47,0,0,29,0,4,7,35,4,7,4,4,5,0,0,0,59,11,11,0,11,0,16,16,8,0,0,13,0,10,20,25,25,17,0,8,0,0,23,45,23
2013-05-01,8,29,0,0,0,7,0,0,0,6,0,3,0,0,0,36,1,1,0,0,9,3,0,3,0,0,10,0,0,5,0,0,3,8,46,0,17,0,4,0,0,0,10,21,0,0,7,22,0,0,10,0,0,1,0,0,40,0,0,89,0,2,3,24,2,11,0,0,4,0,7,0,48,11,11,0,0,8,0,17,0,0,0,7,0,0,16,21,21,9,0,17,0,0,0,23,23
2013-06-01,6,0,0,0,0,4,0,0,1,3,0,7,0,0,0,39,1,1,0,0,3,6,0,3,0,11,14,0,0,7,0,0,0,9,68,0,0,0,1,0,0,0,11,11,11,0,0,24,0,0,11,0,0,0,1,0,36,0,0,33,0,0,4,14,2,4,0,0,0,7,0,0,7,12,12,0,12,0,0,9,0,0,0,0,0,0,23,11,0,0,0,9,0,0,0,0,0
2013-07-01,5,0,0,0,0,4,0,0,0,9,0,0,0,0,0,36,1,0,0,0,4,4,0,4,0,0,0,0,0,14,0,0,0,0,40,10,0,0,1,0,0,0,0,0,12,0,9,35,9,0,0,0,0,0,0,0,42,0,0,71,0,0,2,10,0,4,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,8,0,0,0,0,37,12,12,0,0,10,0,28,0,0,0
2013-08-01,6,36,36,0,0,4,0,0,0,8,0,8,0,0,0,39,2,0,0,0,2,0,0,5,4,8,0,0,0,10,0,0,0,10,51,0,0,0,5,0,1,0,0,25,13,0,9,0,18,0,0,0,0,0,0,1,42,0,18,0,0,0,2,14,4,14,5,0,5,0,0,0,42,0,0,0,21,10,0,21,0,8,0,8,0,0,19,26,0,0,0,0,0,0,0,0,0
2013-09-01,16,0,28,0,0,7,0,0,1,38,0,3,0,0,0,47,2,1,0,0,14,0,0,7,3,6,10,0,0,8,0,0,3,32,53,8,0,1,27,0,3,0,0,0,25,0,36,14,0,0,0,0,0,1,0,1,26,0,0,72,0,4,2,12,3,53,5,0,5,0,7,0,53,0,0,0,0,0,16,41,0,6,0,13,0,0,31,30,15,0,8,13,21,0,0,45,23
2013-10-01,30,0,31,30,0,12,0,1,1,84,3,3,3,0,0,60,6,2,0,1,18,3,0,17,9,0,27,0,0,16,0,0,0,17,22,9,0,1,52,0,4,11,22,11,38,0,0,39,0,0,22,0,0,3,2,0,51,0,0,31,0,4,4,10,4,94,8,0,6,7,0,0,49,12,12,0,0,0,18,9,0,7,0,7,0,0,33,55,49,9,0,18,50,0,0,24,0
2013-11-01,21,0,28,0,0,8,0,0,1,31,0,0,0,0,0,59,5,1,0,0,16,11,0,10,3,6,15,0,0,13,0,0,0,16,59,8,8,0,25,0,3,10,10,0,10,0,14,42,0,0,10,0,10,2,1,0,37,0,0,28,0,3,2,29,3,39,11,4,5,0,13,0,13,11,11,0,11,0,8,24,8,0,0,13,0,0,49,34,44,16,8,33,33,44,22,44,22
2013-12-01,23,31,0,0,0,16,0,0,1,18,10,3,0,0,0,69,10,2,0,0,16,6,0,25,9,20,24,7,0,14,0,4,4,26,30,9,26,0,14,0,2,0,11,11,11,0,15,23,0,0,11,11,0,1,0,2,28,0,0,31,0,0,6,47,2,25,4,4,16,0,7,0,57,12,24,12,12,9,9,31,18,0,0,0,0,0,71,33,33,14,14,23,0,0,24,24,48
2014-01-01,39,28,28,28,0,26,0,1,2,27,8,3,6,2,0,99,21,3,0,0,39,3,0,54,7,9,38,6,0,25,0,3,3,40,93,20,16,0,28,0,2,0,50,10,10,0,14,43,14,10,50,0,15,3,4,3,35,0,0,86,43,9,15,40,13,40,5,5,20,7,0,0,20,11,27,22,16,16,24,45,0,6,19,39,13,25,86,35,55,17,13,17,8,0,45,22,22
2014-02-01,19,88,59,0,0,21,1,1,1,5,3,3,0,0,0,66,9,1,0,1,21,0,0,22,3,10,16,6,0,24,0,0,0,8,59,0,25,1,5,0,0,0,21,21,31,0,30,30,15,0,21,11,0,3,1,0,44,0,15,60,0,5,5,46,5,19,4,0,11,0,7,0,41,11,34,11,11,0,13,13,17,0,7,27,0,0,42,10,63,9,22,13,9,0,47,0,23
2014-03-01,15,27,28,27,0,10,0,0,0,3,0,3,0,1,0,68,7,1,0,0,15,6,0,19,3,6,15,0,0,13,0,0,6,8,70,0,0,1,5,0,1,0,20,0,10,0,20,41,7,0,20,10,10,2,1,1,49,0,14,55,0,3,5,42,7,7,3,3,16,0,6,0,57,11,37,0,16,8,20,20,0,0,12,31,6,0,34,29,53,16,8,16,8,0,21,22,21
2014-04-01,13,0,0,0,0,7,0,0,1,0,3,6,0,0,1,61,3,1,0,0,10,0,0,8,0,6,6,0,0,14,0,0,3,7,49,0,15,1,2,0,0,0,0,14,0,0,7,20,7,0,0,0,9,0,0,1,38,0,0,13,0,3,6,37,3,12,10,3,3,0,6,0,55,10,20,0,0,0,8,15,8,0,0,6,0,9,33,19,28,0,15,16,0,0,21,0,21
2014-05-01,7,0,0,0,0,6,0,0,0,6,3,0,0,0,0,50,2,1,0,1,3,3,0,6,0,6,9,0,0,5,0,0,0,0,83,0,0,0,2,0,1,0,10,10,0,0,7,49,7,0,10,0,0,1,0,1,44,14,14,57,0,2,3,22,4,5,0,0,0,13,0,0,39,0,11,0,11,0,8,8,0,6,0,0,0,0,15,25,39,12,0,12,0,22,0,0,22
2014-06-01,5,0,0,0,0,3,0,0,1,0,0,7,0,0,0,35,0,1,0,0,5,0,0,3,0,0,7,0,0,8,0,0,0,0,28,0,9,0,2,0,0,0,12,0,0,0,16,41,0,0,12,0,0,0,0,0,33,0,0,16,0,0,4,15,0,8,0,0,0,0,0,0,23,0,0,0,13,0,0,9,0,15,0,0,0,0,0,12,0,0,0,10,0,0,0,0,26
2014-07-01,4,0,0,0,0,3,0,0,0,3,0,0,0,0,0,39,2,1,0,0,4,0,0,6,3,7,7,0,0,4,0,0,4,0,32,0,9,0,2,0,1,0,0,0,0,0,8,32,0,0,0,0,0,0,0,2,33,0,0,16,0,0,2,14,0,8,0,0,4,0,0,0,51,0,0,0,12,9,0,9,9,0,0,0,7,0,23,0,11,9,0,9,0,0,0,0,0
2014-08-01,6,0,0,0,0,4,0,0,0,3,0,3,0,0,0,47,0,3,0,1,3,0,0,6,3,21,34,0,0,4,0,0,0,9,27,9,0,0,4,0,0,0,11,11,0,0,8,40,0,0,11,0,11,0,0,0,33,0,0,64,0,4,2,16,6,10,4,0,0,0,0,0,29,12,12,12,12,0,0,0,9,0,0,0,0,0,22,28,11,9,9,0,0,0,25,25,0
2014-09-01,19,0,0,0,0,5,1,0,0,46,0,0,0,2,0,59,8,2,0,0,9,0,0,15,0,13,23,0,0,10,0,0,0,0,55,0,17,1,24,0,2,0,21,0,11,0,30,22,0,0,21,0,0,0,0,0,45,0,0,60,0,0,2,10,0,41,4,0,4,0,0,0,55,0,0,0,23,0,0,0,0,0,0,0,0,11,11,10,42,0,17,0,13,0,23,0,0
2014-10-01,36,0,0,0,0,13,0,1,0,78,6,3,0,0,0,71,4,2,0,1,25,6,0,21,3,18,24,0,0,13,0,0,0,12,47,0,8,0,58,0,4,10,19,0,29,0,21,21,14,0,19,0,10,3,0,1,100,0,0,42,0,3,7,15,3,100,5,0,17,0,13,0,38,21,11,11,43,0,8,24,0,6,0,31,0,0,34,29,68,0,24,8,73,0,0,0,43
2014-11-01,23,29,30,30,0,11,0,0,0,33,0,3,0,0,1,63,6,1,0,0,19,6,0,15,6,7,13,0,0,3,0,0,3,21,46,0,13,1,32,0,3,0,11,21,21,0,29,22,7,0,11,11,0,1,0,2,46,0,15,75,30,2,5,29,2,45,4,4,21,0,7,0,48,0,34,11,11,0,8,25,8,0,0,27,0,11,21,31,21,0,13,17,35,0,23,0,23
2014-12-01,42,0,44,0,0,57,1,2,1,24,10,3,3,0,1,69,21,4,0,1,36,6,0,61,19,13,49,0,0,38,0,7,3,8,29,8,25,1,23,0,2,0,53,10,31,0,15,45,7,0,53,32,0,5,0,1,51,15,0,30,30,8,9,67,11,45,8,4,60,34,7,0,7,11,57,11,11,0,38,30,13,7,0,74,0,0,84,53,52,18,18,39,26,0,23,93,35
2015-01-01,41,0,85,29,0,51,1,1,1,6,0,6,3,0,0,80,16,3,0,1,39,4,0,49,9,13,38,0,0,26,0,3,3,24,57,8,12,3,11,0,1,0,20,10,25,0,21,57,21,0,20,10,10,2,0,1,50,14,14,29,0,11,14,56,13,18,7,0,38,7,13,0,39,11,44,11,22,12,28,89,8,0,6,71,6,0,35,30,45,25,34,21,17,45,34,79,45
2015-02-01,21,0,30,30,0,20,1,0,0,6,3,5,0,1,0,74,9,5,0,1,18,3,0,29,6,7,54,0,0,21,0,3,3,9,47,17,17,0,6,0,1,0,21,21,22,0,15,37,7,11,21,16,0,3,1,3,46,15,0,0,0,5,7,56,7,19,4,0,15,0,7,0,56,23,35,12,11,0,21,17,9,0,7,41,0,0,43,43,58,9,13,31,0,0,0,0,47
2015-03-01,19,0,28,28,0,24,1,0,1,0,0,3,0,0,0,69,10,2,0,1,21,3,0,31,3,12,28,0,0,11,0,7,3,16,64,0,16,1,2,0,0,0,15,0,10,0,14,14,7,10,15,0,10,5,2,2,39,14,14,43,0,4,3,48,5,18,4,7,9,0,0,0,26,11,22,0,0,0,12,16,8,6,0,6,0,0,30,35,25,13,25,17,8,0,22,45,22
