date,flu,flu recovery,having the flu,flu duration,remedies for the flu,influenza a and b,cure the flu,remedies for flu,flu season,dangerous fever,break a fever,flu versus cold,how long is the flu contagious,treating flu,flu like symptoms,pneumonia,flu how long,flu and cold,flu lasts,braun thermoscan,the flu,flu game,cure flu,cold vs. flu,how long flu,symptoms of flu,fever reducer,cold and flu,flu contagious period,flu children,incubation period for flu,reduce a fever,how long contagious,low body,treat the flu,flu treatment,is the flu contagious,flu shot,flu 2018,cold versus flu,incubation period for the flu,flu and fever,flu care,flu headache,flu vs. cold,high fever,medicine for flu,flu treatments,cold vs flu,fight the flu,flu a symptoms,influenza symptoms,the flu virus,reduce fever,type a influenza,influenza incubation period,thermoscan,how to treat the flu,flu virus,how long does the flu last,fever flu,how long does flu last,swine flu,flu vaccine,flu cough,contagious flu,what to do if you have the flu,flu report,symptoms,flu test,over the counter flu medicine,the flu symptoms,normal body,get rid of the flu,is flu contagious,flu germs,ear thermometer,early flu symptoms,how long is flu contagious,symptoms of the flu,treatment for flu,taking temperature,exposed to flu,flu contagious,flu length,bronchitis,get over the flu,symptoms of bronchitis,what is the flu,cold or flu,flu medicine,flu remedies,flu complications,treat flu,how to get rid of the flu,body temperature
2011-10-01,12,15,15,15,0,0,0,0,14,10,40,0,0,0,3,34,3,1,0,0,8,1,1,0,6,10,2,3,0,8,3,0,18,51,5,16,0,30,0,0,0,8,11,8,0,49,9,0,0,0,26,0,4,0,0,0,18,0,10,3,8,3,9,20,2,0,0,0,84,2,2,16,21,4,0,0,8,0,0,9,3,2,0,2,2,35,0,1,6,4,15,6,0,9,0,77
2011-11-01,9,0,15,0,14,0,0,2,4,10,10,0,0,0,1,47,2,1,0,0,7,0,1,0,4,9,1,4,0,5,0,0,22,40,0,5,0,18,0,0,0,10,10,5,0,55,0,0,6,0,11,7,0,35,0,0,17,0,8,5,6,4,11,20,2,0,0,0,72,2,0,12,18,0,6,0,0,0,3,17,0,4,2,2,0,44,1,2,2,5,3,4,0,0,0,57
2011-12-01,7,14,0,14,0,0,2,0,2,10,20,0,0,0,2,45,3,2,0,1,6,1,1,0,4,9,2,8,0,5,2,2,21,54,0,21,16,9,0,0,0,10,5,5,0,54,0,0,6,0,7,0,11,34,17,17,17,0,7,2,10,3,7,11,4,0,0,0,70,3,2,10,14,0,10,0,8,3,3,9,6,2,2,3,0,45,0,2,2,6,8,4,0,5,3,61
2012-01-01,6,0,13,13,0,0,2,2,7,18,9,0,9,0,1,54,2,1,0,0,4,1,1,0,3,6,1,5,0,4,2,7,12,56,5,12,14,6,0,0,0,0,0,9,0,51,10,10,13,0,10,0,7,31,0,16,16,0,6,2,8,5,11,9,7,0,0,0,87,1,0,5,12,4,4,0,11,0,0,8,3,2,0,3,0,46,1,4,4,2,7,3,0,5,3,56
2012-02-01,7,0,26,0,0,0,2,0,4,9,9,0,0,0,1,46,2,1,0,0,6,1,1,0,4,7,2,4,1,8,2,3,21,34,5,14,5,3,0,0,0,7,0,9,0,39,10,0,5,0,7,0,13,48,16,0,16,0,6,2,6,6,5,7,4,0,0,0,82,2,0,7,18,4,0,0,8,4,3,12,0,4,0,6,0,54,1,2,2,2,8,2,0,3,3,66
2012-03-01,5,13,19,0,13,0,0,0,4,9,17,0,0,0,2,38,2,0,0,0,6,4,0,0,3,8,2,1,1,2,4,4,13,50,9,11,0,2,0,0,0,4,4,9,0,65,5,5,10,0,3,3,3,38,30,0,15,0,5,3,5,3,6,5,3,0,0,0,76,3,1,11,14,0,4,0,7,3,0,12,0,2,0,3,0,41,1,3,1,0,7,3,2,3,0,57
2012-04-01,4,0,13,13,0,0,0,4,5,0,27,0,0,0,1,33,2,0,0,0,3,2,0,0,3,5,1,2,0,2,2,2,13,68,0,16,7,1,0,0,0,0,5,5,0,56,0,0,5,0,3,10,0,16,31,0,31,0,6,2,2,3,3,3,2,0,0,0,81,1,0,5,17,0,4,0,4,3,5,11,3,0,0,8,2,44,1,3,2,5,6,5,0,3,0,54
2012-05-01,4,12,12,0,12,0,0,2,0,8,50,0,0,0,1,35,2,1,0,0,4,4,0,0,4,4,2,3,0,6,0,3,19,33,4,4,9,1,0,0,0,6,6,11,0,41,10,0,10,0,6,3,3,29,0,0,0,3,3,1,6,3,8,4,2,0,0,0,88,1,1,3,12,3,5,0,3,4,0,5,2,4,0,5,0,39,0,3,2,4,3,3,2,0,0,54
2012-06-01,3,0,0,0,0,0,0,0,2,24,0,0,0,0,2,31,2,0,0,0,1,5,1,0,3,5,2,2,0,2,0,2,13,26,0,9,0,1,0,0,0,6,0,4,0,45,0,0,0,0,6,3,0,36,0,15,15,0,2,0,2,0,3,3,3,0,0,0,88,3,0,4,13,3,0,0,3,0,2,5,0,2,0,2,2,29,0,2,1,4,2,2,2,3,0,37
2012-07-01,3,0,12,0,0,0,0,0,2,8,8,0,0,0,2,28,1,1,0,0,3,2,1,0,2,5,1,3,1,4,0,2,16,33,0,4,4,1,0,0,0,6,4,4,0,31,5,0,0,0,0,0,3,22,0,0,0,0,4,1,1,3,8,4,2,0,0,0,78,3,0,4,25,0,3,0,7,2,2,7,2,4,0,3,0,33,1,2,2,0,3,2,0,0,3,53
2012-08-01,4,0,12,12,0,2,0,0,3,8,24,0,0,0,2,33,2,0,0,0,3,2,0,0,3,4,2,6,0,3,0,4,13,36,4,4,4,5,0,0,0,4,6,4,0,39,0,0,0,0,3,0,6,42,0,0,0,0,3,1,1,3,14,8,1,0,0,0,83,1,1,3,19,0,3,3,10,2,0,7,2,3,2,2,2,39,0,2,2,4,7,4,0,4,2,55
2012-09-01,8,11,0,11,0,0,0,2,10,8,8,0,0,0,2,42,2,1,0,0,7,1,1,0,4,8,3,5,0,6,0,2,15,37,4,8,8,18,0,0,0,6,6,4,0,56,0,0,4,0,12,6,9,20,0,0,14,1,13,0,5,5,6,10,0,0,0,0,84,1,0,10,15,3,5,0,0,2,2,10,2,3,2,5,0,44,0,5,3,4,0,7,0,5,2,67
2012-10-01,12,0,11,0,35,2,2,0,7,8,39,8,0,0,1,43,5,1,0,0,8,2,1,0,8,13,3,6,0,5,2,2,17,40,4,8,6,36,0,0,0,4,6,6,0,57,9,5,0,3,12,9,9,35,0,0,0,0,9,5,5,7,7,27,3,0,0,0,90,5,1,16,23,10,8,0,7,2,5,17,2,2,0,14,0,63,0,5,3,2,3,6,2,4,2,50
2012-11-01,13,0,0,12,0,3,2,5,2,0,33,8,0,0,2,66,6,2,0,0,10,1,1,0,10,14,1,6,1,4,2,2,33,31,4,22,9,18,0,0,0,18,13,9,0,46,7,0,5,0,25,9,3,29,15,0,15,1,14,6,10,6,9,16,5,0,0,0,81,4,1,17,14,11,9,4,5,0,8,23,4,4,0,15,2,64,0,4,3,4,11,7,0,6,3,65
2012-12-01,26,16,27,21,37,0,2,8,6,22,51,7,51,1,3,72,17,2,0,0,28,2,2,0,28,33,4,15,1,24,11,4,43,56,16,35,31,27,0,0,0,29,21,17,0,83,25,0,15,5,33,8,19,58,26,13,26,1,22,14,25,20,12,23,12,1,0,0,82,10,1,44,21,14,28,6,3,9,17,53,13,4,3,29,2,89,1,6,9,7,20,21,0,10,6,86
2013-01-01,35,9,38,19,24,4,1,4,19,13,32,13,19,1,3,67,15,2,0,0,31,3,1,0,26,38,2,9,1,30,6,2,38,50,15,33,21,54,0,0,1,10,25,32,0,47,15,4,22,2,36,7,17,51,17,34,0,3,22,22,19,29,14,42,13,1,0,0,88,12,0,58,21,12,20,0,5,3,12,60,2,3,3,26,3,74,3,4,13,12,18,20,2,12,6,87
2013-02-01,14,10,40,20,15,0,1,1,7,7,34,7,20,1,1,51,8,1,0,0,16,1,3,0,13,24,1,7,0,10,3,3,24,58,9,16,15,3,0,0,0,14,5,11,0,55,12,4,12,0,13,10,5,18,0,0,12,2,16,9,18,17,4,5,5,0,0,0,84,4,2,30,20,4,14,3,6,3,7,49,7,3,1,13,1,68,1,4,6,2,11,8,0,13,2,69
2013-03-01,11,20,15,36,10,1,0,3,10,14,35,0,14,0,2,55,9,2,0,0,12,2,1,0,15,16,2,8,0,11,5,3,24,47,0,17,9,4,0,0,0,9,9,4,0,87,16,6,4,0,34,5,21,37,37,12,12,2,14,11,12,13,4,5,5,0,0,0,83,6,1,35,21,12,13,9,7,0,9,37,2,5,4,8,2,52,1,3,7,7,13,9,2,15,4,57
2013-04-01,7,0,11,11,11,0,1,4,1,7,29,0,0,0,1,34,5,1,0,0,7,1,1,0,8,11,2,4,1,4,2,0,19,42,6,19,4,1,0,0,0,4,4,0,0,46,8,0,4,3,13,3,11,38,13,0,13,2,11,5,6,8,5,9,2,0,0,0,76,3,1,13,13,3,9,0,6,4,2,24,4,2,0,6,3,43,1,2,6,3,6,5,4,4,2,63
2013-05-01,4,0,0,0,11,0,2,2,0,8,8,0,0,0,1,32,1,1,0,0,3,3,1,0,1,5,2,3,0,0,0,4,16,30,0,6,0,1,0,0,0,0,4,8,0,55,4,0,4,0,6,3,3,34,0,0,27,0,4,3,4,3,7,3,3,0,0,0,72,3,0,6,14,0,0,0,0,2,0,11,0,4,0,2,0,43,0,1,1,2,4,0,0,0,2,45
2013-06-01,2,0,0,0,0,0,0,0,0,8,8,0,0,0,1,21,1,0,0,0,2,1,1,0,1,2,1,1,0,2,0,6,16,43,4,4,0,1,0,0,0,4,0,0,0,55,4,0,0,0,0,0,0,34,0,0,27,0,4,0,5,1,3,1,0,0,0,0,76,1,0,3,15,0,0,0,10,0,2,2,2,3,0,0,0,33,0,2,0,2,2,4,0,2,0,46
2013-07-01,2,0,0,11,0,0,0,0,0,0,15,0,0,0,1,26,1,0,0,0,2,2,0,0,2,3,2,2,0,2,0,2,16,40,0,4,0,1,0,0,0,4,0,4,0,43,4,0,4,0,3,0,6,13,0,0,13,0,3,0,3,3,4,1,1,0,0,0,80,0,0,2,18,0,0,0,3,2,0,0,0,2,0,0,0,26,0,6,1,0,2,0,0,0,0,53
2013-08-01,4,0,11,11,0,0,2,2,6,0,7,0,0,0,1,26,1,1,0,0,2,1,0,0,2,4,1,4,0,4,2,2,16,52,0,8,0,2,0,0,0,8,4,4,0,42,4,4,8,0,3,0,5,90,0,13,13,0,6,1,4,2,5,9,2,0,0,0,75,1,1,4,13,0,6,0,15,2,0,5,2,0,0,3,0,29,0,1,1,2,2,0,0,0,0,65
2013-09-01,9,10,0,0,0,0,1,3,6,14,0,0,0,0,1,39,3,1,0,0,6,1,1,0,4,5,1,6,0,3,2,0,14,46,7,7,7,19,0,0,0,4,7,5,0,50,8,0,12,0,5,3,5,30,12,0,12,0,6,3,5,2,8,35,3,0,0,0,73,1,0,5,18,3,3,3,6,2,0,2,4,4,1,5,0,37,1,2,1,2,6,3,2,2,2,66
2013-10-01,14,0,15,10,0,0,0,0,9,7,14,0,7,1,2,41,4,2,0,0,10,3,0,0,6,10,1,7,0,5,2,4,19,34,4,13,4,48,0,0,0,6,6,9,0,51,8,0,4,3,24,0,13,68,19,0,12,0,10,3,8,3,7,45,5,0,0,0,74,3,2,12,17,0,6,3,6,0,0,13,2,3,0,3,2,37,0,2,3,4,5,5,2,4,0,49
2013-11-01,12,11,11,10,11,0,0,3,3,14,22,7,14,1,2,52,5,1,0,0,12,3,1,0,8,12,2,8,1,13,2,2,22,56,6,12,15,24,0,0,0,4,8,11,0,56,6,4,4,8,11,5,0,45,13,13,0,1,6,2,10,6,7,17,4,0,0,0,76,4,1,14,13,0,14,0,6,2,2,21,6,5,0,10,0,60,1,1,4,6,8,16,0,4,0,70
2013-12-01,22,10,15,26,31,0,3,4,9,14,42,7,21,0,2,67,16,1,0,0,22,7,2,0,26,22,3,9,2,13,11,5,50,26,9,24,7,20,0,0,0,13,19,13,0,51,18,8,10,5,18,5,13,50,31,0,12,2,18,21,21,21,28,17,11,1,0,0,74,5,2,27,15,16,30,0,9,9,10,29,4,3,5,20,2,83,4,7,7,14,16,16,2,12,8,60
2014-01-01,24,10,20,31,31,0,0,6,12,21,28,0,7,0,4,59,12,2,0,0,19,4,2,0,21,26,3,10,0,5,7,5,28,50,4,24,22,37,0,0,0,9,13,9,0,58,22,0,6,3,18,16,10,55,24,12,12,2,25,10,16,12,29,28,11,1,0,0,76,7,1,29,16,6,19,3,3,6,5,37,4,2,6,17,0,56,1,2,5,4,13,12,0,2,2,66
2014-02-01,9,11,11,0,11,2,0,2,12,0,23,0,8,1,1,39,3,1,0,0,6,2,1,0,6,10,1,5,0,2,4,4,14,48,4,4,12,8,0,0,0,4,12,8,0,48,13,0,17,0,6,3,8,13,13,0,20,3,12,6,6,10,6,12,4,0,0,0,71,2,2,13,16,3,6,0,5,2,3,11,5,3,2,4,0,41,1,1,4,3,8,7,2,2,2,57
2014-03-01,7,20,10,0,10,1,0,0,1,21,7,0,7,0,1,41,2,1,0,0,5,3,1,0,3,9,1,7,0,2,2,2,19,44,7,11,7,2,0,0,0,4,0,4,0,64,8,4,0,0,5,8,8,37,0,0,12,1,7,4,8,4,6,7,3,0,0,0,73,1,1,7,13,0,4,3,12,0,2,8,3,6,1,6,0,54,0,4,4,2,5,2,2,3,2,68
2014-04-01,5,10,0,16,10,0,0,1,3,7,14,0,7,0,2,36,3,0,0,0,4,1,1,0,5,6,2,3,2,0,0,0,22,34,4,8,8,1,0,0,0,4,4,0,0,43,4,0,4,3,11,8,8,31,13,0,13,1,7,2,7,3,4,7,3,0,0,0,71,2,0,9,14,3,6,0,6,0,0,10,4,3,0,4,2,41,0,2,2,3,2,0,0,2,0,48
2014-05-01,4,11,11,0,0,0,2,2,2,8,8,0,0,0,2,34,2,0,0,0,3,1,1,0,3,3,1,2,0,0,2,0,13,41,0,10,0,1,0,0,0,4,4,4,0,39,9,0,4,0,0,0,5,39,13,0,13,0,8,3,5,4,4,6,1,0,0,0,71,2,0,3,9,3,3,0,6,0,0,7,2,2,0,2,0,42,1,3,1,4,6,4,0,2,0,50
2014-06-01,3,0,12,0,12,0,0,3,3,17,17,0,0,0,1,29,1,1,0,0,3,5,2,0,2,2,1,2,0,0,0,2,19,49,0,4,4,1,0,0,0,7,0,13,0,41,10,0,0,0,3,0,3,59,0,0,0,1,4,0,5,0,3,5,0,0,0,0,74,0,0,4,14,0,0,0,7,3,3,8,3,4,2,4,0,37,0,2,0,2,4,3,0,3,0,50
2014-07-01,3,0,11,0,0,0,2,0,0,8,0,0,0,0,1,21,0,0,0,0,2,1,1,0,1,3,1,2,0,0,0,2,19,32,0,4,4,1,0,0,0,0,4,8,0,46,0,0,0,3,3,0,3,54,0,0,13,0,5,0,4,0,2,3,1,0,0,0,76,4,0,6,8,0,6,0,0,0,2,3,0,3,0,2,0,21,0,2,1,2,3,2,0,2,0,45
2014-08-01,4,0,0,0,0,0,0,0,3,7,7,0,0,0,1,28,2,1,0,0,2,1,1,0,3,5,2,4,0,3,2,3,11,38,4,4,8,4,0,0,0,4,4,0,0,22,4,0,4,0,3,0,6,13,0,0,26,1,5,4,4,1,3,7,0,0,0,0,80,1,1,4,14,3,3,3,9,2,2,3,2,2,0,2,0,36,0,3,2,2,4,4,0,0,5,51
2014-09-01,9,0,33,0,0,0,0,3,11,0,23,0,0,0,2,35,2,0,0,0,4,1,0,0,3,8,3,2,0,2,2,2,18,60,4,8,4,21,0,0,0,12,8,8,0,48,4,0,7,0,6,0,6,20,0,0,0,1,6,3,6,4,1,20,1,0,0,0,82,2,1,4,16,0,5,6,3,0,5,6,2,6,0,2,0,44,0,2,3,2,6,3,0,2,2,74
2014-10-01,17,0,0,0,0,0,0,3,9,7,22,0,0,0,3,41,3,1,0,0,12,0,1,0,5,9,2,7,0,6,2,2,21,56,4,10,6,43,0,0,0,8,12,10,0,85,9,4,6,0,14,0,3,26,13,0,13,1,12,3,8,8,9,56,6,0,0,0,100,1,1,12,18,6,3,0,9,2,2,14,0,3,3,4,0,41,1,3,4,2,12,4,0,6,2,95
2014-11-01,14,12,12,12,12,2,0,3,15,32,64,0,8,0,4,56,10,1,0,0,13,2,2,0,16,17,2,7,0,4,4,2,31,47,9,6,13,28,0,0,0,8,21,21,0,56,9,0,7,3,12,0,15,50,28,0,14,3,10,7,14,11,2,24,5,0,0,0,76,5,1,15,22,5,20,3,15,6,4,18,2,2,3,15,0,60,1,4,6,3,7,6,0,4,6,64
2014-12-01,30,18,29,18,18,5,10,3,18,40,57,0,32,1,3,70,27,3,0,0,37,2,2,0,46,35,3,15,4,12,11,6,70,51,24,30,53,20,0,0,2,25,34,30,0,100,35,14,23,6,24,24,27,57,28,28,0,6,17,19,31,27,8,33,19,2,0,0,82,15,3,50,20,19,61,14,7,11,32,50,12,8,5,62,3,91,2,6,13,14,24,15,2,10,5,80
2015-01-01,20,11,34,23,17,2,0,3,13,0,55,0,16,0,2,64,11,2,0,1,20,1,1,0,19,20,2,11,1,11,8,2,42,54,4,23,27,9,0,0,1,22,18,16,0,47,16,4,11,0,37,12,6,21,34,0,41,2,27,9,21,17,7,8,11,1,0,0,80,9,1,34,21,13,38,3,8,8,11,32,2,2,3,22,0,67,2,5,10,11,15,11,2,5,5,82
2015-02-01,13,12,12,23,12,2,0,3,7,16,33,0,8,1,1,57,7,2,0,0,14,1,2,0,12,20,2,10,0,7,3,3,34,56,4,15,30,4,0,0,0,13,6,4,0,44,7,0,16,3,12,18,6,43,43,0,28,1,15,10,12,11,11,16,5,0,0,0,78,3,1,27,12,10,20,3,5,5,9,39,4,9,4,17,2,64,1,3,4,8,8,12,0,5,6,58
2015-03-01,10,17,23,11,17,0,0,5,3,23,16,0,23,0,2,49,10,1,0,0,10,1,1,0,16,11,1,9,0,2,3,6,30,54,4,21,16,3,0,0,0,8,8,8,0,31,27,5,7,0,14,6,9,55,14,0,14,1,11,10,9,10,9,2,4,0,0,0,75,6,3,23,19,3,13,0,8,4,12,25,2,4,0,11,0,57,1,3,2,2,7,9,2,5,5,63
2015-04-01,6,0,0,12,0,0,0,2,3,16,16,0,0,0,2,37,2,0,0,0,6,1,0,0,4,9,2,2,0,2,2,0,16,39,4,0,4,0,0,0,0,15,4,4,0,56,5,0,9,0,9,3,3,29,0,0,14,1,4,1,6,6,5,3,3,0,0,0,76,4,0,15,17,0,10,0,7,5,5,16,0,0,0,6,2,45,1,2,2,8,5,4,0,3,0,52
