date,flu,flu recovery,having the flu,flu duration,remedies for the flu,influenza a and b,cure the flu,remedies for flu,flu season,dangerous fever,break a fever,flu versus cold,how long is the flu contagious,treating flu,nj flu,pneumonia,flu how long,flu and cold,flu lasts,braun thermoscan,the flu,flu in nj,cure flu,cold vs. flu,how long flu,symptoms of flu,fever reducer,cold and flu,flu contagious period,flu children,incubation period for flu,reduce a fever,how long contagious,low body,treat the flu,flu treatment,is the flu contagious,flu shot,flu 2018,cold versus flu,incubation period for the flu,flu and fever,flu care,flu headache,flu vs. cold,high fever,medicine for flu,flu treatments,cold vs flu,fight the flu,influenza symptoms,the flu virus,how to treat flu,type a influenza,influenza incubation period,thermoscan,normal body temperature,flu virus,how long does the flu last,cold,fever flu,how long does flu last,swine flu,flu vaccine,flu cough,contagious flu,what to do if you have the flu,flu report,fever,over the counter flu medicine,the flu symptoms,normal body,flu or cold,is flu contagious,flu germs,ear thermometer,flu fever,how long is flu contagious,symptoms of the flu,tamiflu,treatment for flu,exposed to flu,flu contagious,flu length,bronchitis,symptoms of bronchitis,what is the flu,oscillococcinum,cold or flu,flu remedies,flu shot side effects,flu complications,signs of the flu,how to get rid of the flu,body temperature
2011-12-01,9,0,0,65,0,0,2,0,5,0,15,0,0,0,3,80,4,1,0,0,8,1,0,0,7,11,2,9,2,9,0,15,27,29,7,0,7,12,0,0,0,13,27,27,0,50,7,0,0,0,12,12,25,0,0,10,80,0,0,59,0,2,6,5,3,1,0,0,52,0,8,23,3,3,0,6,5,0,1,1,0,0,0,1,58,27,11,8,5,7,7,0,7,3,35
2012-01-01,9,0,0,0,29,0,2,0,5,27,14,0,0,1,5,60,2,1,0,1,6,3,1,0,3,9,5,6,0,3,3,7,34,60,7,20,10,8,0,0,0,13,13,25,0,28,6,0,15,0,23,0,12,0,0,9,72,0,0,56,0,3,7,9,1,1,0,0,48,0,10,20,7,4,3,9,13,1,2,1,1,0,5,0,56,10,8,10,15,0,30,0,0,0,71
2012-02-01,10,0,0,0,0,0,2,5,6,15,0,15,0,1,5,55,4,2,0,1,8,1,2,0,7,13,3,10,2,11,4,4,18,40,0,7,7,4,0,0,0,14,0,27,0,33,7,7,13,12,19,44,12,0,0,10,49,1,0,53,0,3,8,8,2,1,0,0,55,0,5,19,0,3,0,3,13,0,3,1,0,0,3,0,35,11,11,5,0,11,0,0,0,0,56
2012-03-01,6,0,31,31,0,0,0,2,4,14,28,0,0,2,2,48,3,2,0,1,5,3,0,0,5,11,4,13,0,0,4,3,21,62,7,14,7,3,0,0,0,26,0,13,0,38,6,0,10,0,12,12,0,0,0,9,76,0,0,52,0,2,9,4,0,1,0,0,54,0,8,21,0,0,0,3,8,1,2,1,1,0,0,0,42,16,10,8,0,0,0,0,0,0,57
2012-04-01,6,31,0,0,0,0,0,0,0,14,0,0,0,0,2,46,3,0,0,0,4,3,1,0,6,7,2,3,0,4,0,7,24,43,7,7,14,1,0,0,0,0,14,0,0,33,0,0,13,0,0,25,0,0,0,10,19,0,0,47,0,0,3,6,2,0,0,0,56,0,7,13,5,3,0,0,8,1,1,1,1,0,0,0,39,16,5,5,11,7,0,0,0,0,39
2012-05-01,4,0,30,30,0,2,2,2,0,0,0,0,0,0,1,36,2,1,0,0,3,1,3,0,3,5,2,5,0,0,0,3,17,37,0,7,7,0,0,0,0,0,0,0,0,16,0,0,0,0,29,12,0,0,0,9,37,0,0,48,0,2,5,2,0,0,0,0,48,0,8,14,3,7,0,3,0,1,1,2,1,0,2,0,38,20,0,10,5,0,0,0,14,0,39
2012-06-01,4,30,0,0,0,0,0,0,4,0,0,0,0,0,2,36,2,1,0,0,2,3,0,0,3,4,2,4,0,3,0,0,23,75,0,7,0,0,0,0,0,13,0,0,0,32,0,0,6,0,0,12,0,0,0,9,56,0,0,45,0,0,5,2,0,0,0,0,49,0,4,26,0,0,0,9,12,0,1,1,0,0,0,0,32,10,0,5,0,14,0,0,0,0,53
2012-07-01,4,0,0,0,0,0,0,0,0,0,28,0,0,0,2,30,2,0,0,0,2,1,0,0,3,4,2,2,0,3,0,0,16,27,0,14,0,0,0,0,0,0,0,13,0,51,0,0,0,12,0,24,12,0,0,0,9,0,0,41,0,0,3,3,2,0,0,0,47,0,3,17,0,0,3,3,6,0,1,1,0,0,0,0,25,5,5,0,0,0,0,0,7,0,40
2012-08-01,4,0,0,0,0,0,0,0,2,14,55,0,0,0,4,39,1,0,0,0,3,3,0,0,2,2,3,3,0,3,0,3,12,37,0,7,0,2,0,0,0,25,0,0,0,43,6,0,6,0,12,12,0,0,0,0,18,0,0,39,0,2,12,3,1,0,0,0,48,0,3,20,2,3,0,3,3,0,1,0,1,0,0,0,19,5,15,5,5,7,7,0,0,0,39
2012-09-01,11,0,0,60,0,0,0,0,3,14,0,0,0,0,10,47,2,1,0,0,6,3,0,0,3,5,4,5,0,14,0,3,21,51,0,7,0,19,0,0,0,26,0,0,0,47,13,0,0,0,12,23,0,0,0,0,65,1,0,46,1,5,8,20,3,0,0,0,42,0,10,15,8,0,0,3,10,0,2,0,1,0,1,0,39,15,5,5,15,7,27,0,7,0,60
2012-10-01,15,0,0,29,0,0,2,2,2,13,13,0,0,0,13,58,4,1,0,0,6,7,0,0,6,9,2,6,0,12,3,0,16,32,6,6,0,36,0,0,0,0,12,24,0,36,0,0,9,23,0,28,17,0,0,0,35,1,0,46,0,4,7,23,4,1,0,1,59,2,5,29,2,11,3,4,10,1,1,1,0,0,1,0,49,12,12,10,5,7,81,0,13,0,60
2012-11-01,10,0,30,0,0,0,5,5,2,0,14,0,0,1,8,59,5,1,0,1,6,4,3,0,8,7,3,8,0,3,3,0,23,30,7,6,13,15,0,0,0,12,0,0,0,34,6,0,6,0,12,17,0,0,0,18,27,1,0,50,0,1,3,13,4,1,0,0,54,3,6,20,0,3,0,6,9,1,1,3,1,0,1,0,46,32,15,5,0,0,23,0,7,0,44
2012-12-01,20,25,25,0,25,0,2,2,13,23,34,0,11,0,13,69,6,2,0,1,15,5,4,0,11,19,4,9,0,14,9,6,36,42,6,17,11,19,0,0,0,0,11,11,0,63,8,10,26,10,15,24,19,0,0,0,62,1,0,60,1,6,5,18,6,2,0,0,66,6,25,20,4,6,0,5,27,1,4,12,0,0,2,0,88,21,21,17,9,25,23,0,6,5,63
2013-01-01,85,50,100,100,50,0,5,7,57,23,69,0,46,2,75,88,33,5,0,1,66,41,7,0,54,86,3,31,0,51,10,0,61,70,20,67,31,100,0,0,0,31,42,21,0,57,18,10,54,39,73,68,49,0,0,46,100,2,1,77,2,20,9,74,9,4,0,1,78,3,96,40,11,22,2,10,52,4,12,36,1,3,24,1,89,34,74,19,21,48,73,8,56,11,98
2013-02-01,21,0,0,0,27,4,0,7,11,0,12,0,24,1,9,63,13,1,0,1,19,6,2,0,22,32,3,9,0,18,0,3,38,57,0,27,6,7,0,0,0,0,34,23,0,58,11,0,19,10,0,21,10,0,8,16,49,1,1,55,1,13,5,7,9,2,0,1,68,2,25,25,7,10,3,4,22,3,6,16,1,0,4,0,79,23,27,7,14,30,6,0,36,3,58
2013-03-01,12,0,25,0,50,2,4,2,7,34,11,11,11,1,5,55,9,1,0,0,12,4,2,0,15,18,5,5,2,4,3,3,26,39,11,25,6,2,0,0,0,0,0,21,0,83,5,5,10,0,19,10,10,0,0,15,54,0,0,48,1,9,4,3,4,2,0,0,64,0,25,31,2,9,0,2,28,1,4,8,0,0,6,0,58,21,21,4,4,11,6,6,6,0,66
2013-04-01,9,0,0,0,0,0,4,0,2,13,0,0,0,0,5,45,4,1,0,0,7,2,2,0,6,13,3,3,0,6,3,3,19,56,6,9,6,3,0,0,0,12,0,12,0,49,0,0,6,11,22,32,0,0,0,17,51,0,0,49,1,6,3,3,6,0,0,0,67,0,16,18,0,0,0,3,12,1,2,2,1,1,0,0,39,12,14,5,0,6,6,6,6,0,45
2013-05-01,4,0,51,0,0,0,0,0,2,24,0,0,0,0,2,38,2,1,0,0,3,1,0,0,3,9,2,5,0,3,0,3,16,40,6,9,6,0,0,0,0,0,0,11,0,24,5,0,5,10,15,20,0,0,0,0,63,1,0,48,0,1,3,6,3,1,0,0,54,0,9,18,0,3,0,5,6,0,1,3,1,0,0,0,38,9,13,4,0,6,0,0,0,3,50
2013-06-01,3,0,0,0,0,0,0,0,2,36,12,0,0,0,1,30,1,0,0,0,2,1,1,0,2,3,2,2,0,3,0,0,10,50,6,12,0,2,0,0,0,0,0,0,0,76,6,0,0,0,10,10,0,0,0,0,16,0,0,47,0,1,4,1,3,0,0,0,49,0,2,22,2,0,0,3,5,0,0,1,0,0,0,0,31,11,4,4,4,6,0,0,0,0,31
2013-07-01,3,0,0,0,0,0,0,0,2,0,0,0,0,0,1,36,1,0,0,0,2,2,0,0,1,5,3,2,0,0,0,3,20,42,0,15,5,0,0,0,0,9,9,9,0,37,0,0,0,9,0,17,9,0,0,0,14,0,0,46,0,0,2,3,1,0,0,0,51,0,4,20,2,2,0,2,5,0,0,1,0,0,1,0,26,4,4,8,4,0,0,0,0,0,48
2013-08-01,4,0,0,0,0,0,0,2,3,21,0,0,0,0,3,33,1,0,0,0,3,1,1,0,1,3,3,3,0,5,0,4,19,40,0,5,5,3,0,0,0,0,0,0,0,37,9,0,5,0,0,9,0,0,7,14,28,0,0,45,0,0,3,6,1,0,0,0,50,0,3,19,0,0,0,4,5,0,1,2,0,0,0,0,24,11,6,4,0,10,0,0,0,0,42
2013-09-01,12,0,0,0,0,0,2,0,8,0,0,0,0,0,11,40,2,1,0,0,5,7,0,0,4,2,0,5,0,7,0,5,19,34,5,10,0,28,0,0,0,0,9,18,0,29,0,5,9,0,17,8,0,0,0,13,20,0,0,48,0,3,2,31,2,0,0,0,45,0,6,14,3,0,0,5,13,0,1,1,0,0,0,0,27,7,7,7,6,10,37,0,5,0,57
2013-10-01,20,0,0,0,0,0,0,2,10,9,9,0,9,0,13,47,4,1,0,0,10,5,1,0,6,8,1,6,0,7,0,0,12,44,5,9,5,54,0,0,0,9,35,18,0,32,4,0,13,0,12,12,0,0,0,6,38,0,0,52,0,2,2,41,2,0,0,0,49,0,14,16,2,3,2,9,12,0,1,2,0,1,1,0,45,5,12,4,4,14,91,0,5,0,59
2013-11-01,12,0,0,0,0,2,3,2,3,0,10,0,0,1,10,52,5,1,0,0,8,4,2,0,8,7,2,7,0,5,0,0,26,51,0,15,0,27,0,0,0,10,19,0,0,30,9,0,0,9,9,13,9,7,0,7,55,1,0,57,0,2,3,21,2,0,0,0,53,2,12,17,2,4,0,6,9,0,2,3,0,0,4,1,37,8,8,11,4,8,36,0,10,0,45
2013-12-01,14,0,45,0,0,2,2,3,14,21,10,0,10,0,8,53,9,2,0,0,11,6,1,0,14,20,4,9,0,6,0,4,40,28,5,10,13,18,0,0,0,0,9,19,0,42,5,0,5,0,9,35,13,0,0,7,28,1,0,60,1,9,7,11,5,1,0,0,56,2,18,19,2,8,4,7,16,1,2,5,1,1,5,0,56,21,10,6,4,20,23,0,5,0,42
2014-01-01,23,0,21,64,0,2,2,6,8,10,20,0,20,1,15,67,15,2,0,1,18,7,1,0,24,19,4,11,0,5,4,2,38,57,5,12,10,21,0,0,0,9,36,27,0,71,4,0,18,8,21,29,17,0,7,7,26,1,1,83,1,14,17,16,7,1,0,0,61,2,24,26,4,9,2,7,27,1,3,16,1,0,6,0,61,13,18,22,9,36,17,0,5,0,56
2014-02-01,13,23,0,0,0,0,2,2,7,0,0,11,11,0,5,56,7,2,0,0,14,1,1,0,11,15,3,11,1,3,3,5,17,45,11,16,8,6,0,0,0,30,10,20,0,41,5,0,10,0,18,32,18,14,0,14,21,0,0,56,1,5,10,9,4,1,0,0,60,0,15,31,3,5,2,10,23,0,3,10,0,1,2,0,56,8,14,16,6,13,16,5,0,0,54
2014-03-01,11,0,0,21,0,2,2,2,5,10,10,0,19,1,5,63,8,1,0,1,11,4,1,0,14,13,3,8,0,5,2,4,33,36,5,12,5,3,0,0,0,9,0,0,0,29,9,0,9,0,8,25,0,7,0,0,33,1,0,55,0,3,2,3,3,2,0,0,67,0,13,25,2,7,2,4,14,0,1,8,0,0,3,0,57,16,14,7,4,5,0,5,5,0,54
2014-04-01,11,23,0,23,0,0,2,2,4,32,11,0,0,1,4,51,7,1,0,1,10,5,2,0,11,10,3,8,0,8,3,3,30,57,8,23,16,2,0,0,0,0,0,20,0,63,0,0,10,0,27,32,14,7,0,7,57,1,0,52,0,2,2,4,4,1,0,0,62,2,11,26,6,5,2,5,14,0,2,9,1,0,8,0,54,10,14,20,12,11,5,0,5,3,38
2014-05-01,6,0,0,0,23,2,0,2,4,11,0,0,0,0,2,35,3,1,0,0,5,0,0,0,6,6,4,5,0,0,0,0,23,73,5,5,5,1,0,0,0,0,0,0,0,39,5,0,15,0,14,27,0,0,0,0,14,1,0,53,0,4,4,4,4,0,0,0,63,0,2,29,2,2,0,0,6,1,0,3,0,0,0,0,34,10,4,8,4,8,0,0,5,0,54
2014-06-01,4,0,0,0,0,0,0,0,3,0,12,0,0,1,1,38,1,1,0,0,3,0,1,0,2,5,2,5,0,3,0,3,19,26,0,6,0,2,0,0,0,11,0,0,0,43,8,0,5,0,10,20,0,0,0,0,16,0,0,49,0,5,2,3,0,0,0,0,56,0,8,19,2,0,0,5,5,0,1,2,0,0,0,0,42,11,11,0,4,6,0,0,0,0,60
2014-07-01,4,0,0,0,0,0,0,2,2,12,0,0,0,0,1,32,2,1,0,1,3,1,1,0,4,5,2,5,0,0,0,0,25,52,0,17,6,2,0,0,0,0,0,0,0,40,0,0,5,0,0,0,0,0,0,8,0,1,0,49,0,1,4,3,1,0,0,0,56,0,4,5,2,0,0,4,5,0,1,1,0,0,1,0,28,7,0,0,4,6,0,0,0,0,31
2014-08-01,5,0,0,0,0,0,0,2,2,0,12,0,0,0,2,32,2,1,0,1,2,0,0,0,4,3,2,3,0,6,3,0,25,30,6,0,0,3,0,0,0,11,0,11,0,39,0,0,6,0,11,11,10,0,0,8,25,0,0,47,0,1,1,10,1,0,0,0,59,0,5,22,2,0,0,9,5,0,1,1,0,0,1,0,29,5,9,5,5,12,6,0,0,0,68
2014-09-01,12,0,0,0,0,0,0,0,9,12,24,0,0,1,10,38,4,2,0,0,7,2,0,0,7,3,0,10,0,0,0,0,26,46,6,11,0,23,0,0,0,22,0,33,0,24,5,0,11,0,0,20,0,0,0,0,48,0,0,47,0,3,1,29,2,1,0,0,56,0,8,19,4,4,0,8,16,1,2,1,0,0,0,1,31,7,9,4,9,9,32,6,6,3,53
2014-10-01,25,0,0,0,0,0,2,0,15,0,23,0,11,0,21,52,5,1,0,0,15,7,2,0,8,13,1,8,0,8,0,0,20,36,0,6,5,58,0,0,0,10,52,31,0,26,5,5,5,0,10,29,0,8,0,8,45,1,0,49,1,2,10,51,5,1,0,1,57,0,10,15,6,5,0,10,24,0,2,1,0,0,1,0,41,13,21,4,13,6,94,0,6,0,67
2014-11-01,13,0,0,0,26,2,0,4,6,12,35,0,0,0,9,55,6,2,0,0,10,4,1,0,9,8,3,12,0,9,0,3,12,49,0,9,12,29,0,0,0,22,11,0,0,32,8,0,0,0,20,40,10,0,0,8,39,0,0,64,0,8,3,22,5,0,0,0,57,0,10,21,2,5,0,8,11,1,1,2,1,0,4,0,43,9,13,9,4,9,35,6,6,0,54
2014-12-01,19,0,26,0,0,0,2,2,8,24,0,0,24,0,8,61,10,3,0,0,15,3,1,0,16,27,3,19,0,9,3,3,43,56,6,23,12,19,0,0,0,22,11,22,0,68,8,5,11,0,10,26,0,0,8,24,48,1,0,61,1,8,1,27,4,2,0,0,60,0,23,20,8,14,8,3,14,1,4,15,1,1,12,0,77,20,16,20,16,12,0,6,15,3,60
2015-01-01,32,0,26,26,26,2,4,4,16,12,0,0,12,0,16,66,25,2,0,1,28,10,2,0,41,46,4,11,0,18,9,7,44,41,17,20,29,14,0,0,1,55,33,11,0,59,22,5,27,20,15,45,35,0,8,16,55,1,0,74,1,15,8,12,6,3,0,0,66,2,59,25,5,25,3,8,28,1,6,38,1,1,21,1,61,15,26,13,11,35,12,6,20,6,65
2015-02-01,17,0,0,0,0,0,4,0,12,12,0,0,12,0,7,64,16,3,0,1,16,2,1,0,27,15,2,19,2,5,6,3,32,64,12,24,18,10,0,0,0,23,0,23,0,59,11,0,11,21,16,32,21,0,0,25,58,1,0,72,1,10,23,10,5,1,0,0,66,2,22,17,2,13,4,5,20,1,2,15,1,0,8,0,55,11,16,5,5,6,12,6,9,3,59
2015-03-01,11,0,25,25,0,0,0,4,5,12,23,0,35,0,6,60,8,1,0,0,9,2,2,0,14,13,1,8,0,6,3,3,29,51,0,22,23,3,0,0,0,21,11,11,0,60,16,0,21,0,10,10,10,0,0,31,54,1,0,54,1,8,15,5,2,2,0,0,76,0,18,21,2,7,0,7,16,2,3,6,0,1,2,0,55,19,6,9,4,11,0,0,6,0,55
2015-04-01,9,0,26,0,0,0,2,4,3,0,24,0,0,0,4,49,2,1,0,0,6,2,1,0,4,5,2,5,2,3,3,6,15,35,12,9,6,2,0,0,0,22,0,0,0,38,8,0,5,0,10,20,10,0,0,16,32,1,0,54,0,3,2,7,1,0,0,0,66,0,6,14,2,4,0,3,8,1,1,3,0,0,0,0,48,11,11,0,4,18,0,0,0,0,66
